peak_location;start_window;end_window
2001.4;2001.4;2051.66
2001.82;2001.4;2052.09
2002.24;2001.4;2052.52
2002.67;2001.4;2052.94
2003.09;2001.4;2053.37
2003.51;2001.4;2053.8
2003.94;2001.4;2054.23
2004.36;2001.4;2054.66
2004.78;2001.4;2055.09
2005.21;2001.4;2055.52
2005.63;2001.4;2055.95
2006.05;2001.4;2056.38
2006.48;2001.4;2056.81
2006.9;2001.4;2057.23
2007.33;2001.4;2057.66
2007.75;2001.4;2058.09
2008.17;2001.4;2058.52
2008.6;2001.4;2058.95
2009.02;2001.4;2059.38
2009.45;2001.4;2059.81
2009.87;2001.4;2060.24
2010.3;2001.4;2060.67
2010.72;2001.4;2061.1
2011.14;2001.4;2061.53
2011.57;2001.4;2061.96
2011.99;2001.4;2062.39
2012.42;2001.4;2062.82
2012.84;2001.4;2063.25
2013.27;2001.4;2063.68
2013.69;2001.4;2064.11
2014.12;2001.4;2064.54
2014.54;2001.4;2064.97
2014.96;2001.4;2064.97
2015.39;2001.4;2065.4
2015.81;2001.4;2065.83
2016.24;2001.4;2066.26
2016.66;2001.4;2066.69
2017.09;2001.4;2067.12
2017.51;2001.4;2067.55
2017.94;2001.4;2067.98
2018.36;2001.4;2068.41
2018.79;2001.4;2068.84
2019.21;2001.4;2069.27
2019.64;2001.4;2069.7
2020.06;2001.4;2070.13
2020.49;2001.4;2070.56
2020.92;2001.4;2070.99
2021.34;2001.4;2071.42
2021.77;2001.4;2071.85
2022.19;2001.4;2072.28
2022.62;2001.4;2072.71
2023.04;2001.4;2073.15
2023.47;2001.4;2073.58
2023.89;2001.4;2074.01
2024.32;2001.4;2074.44
2024.75;2001.4;2074.87
2025.17;2001.4;2075.3
2025.6;2001.4;2075.73
2026.02;2001.4;2076.16
2026.45;2001.4;2076.59
2026.88;2001.4;2077.02
2027.3;2001.4;2077.46
2027.73;2001.4;2077.89
2028.15;2001.4;2078.32
2028.58;2001.4;2078.75
2029.01;2001.4;2079.18
2029.43;2001.4;2079.61
2029.86;2001.4;2080.04
2030.28;2001.4;2080.48
2030.71;2001.4;2080.91
2031.14;2001.4;2081.34
2031.56;2001.4;2081.77
2031.99;2001.4;2082.2
2032.42;2001.4;2082.64
2032.84;2001.4;2083.07
2033.27;2001.4;2083.5
2033.7;2001.4;2083.93
2034.12;2001.4;2084.36
2034.55;2001.4;2084.79
2034.98;2001.4;2085.23
2035.4;2001.4;2085.66
2035.83;2001.4;2086.09
2036.26;2001.4;2086.52
2036.69;2001.4;2086.96
2037.11;2001.4;2087.39
2037.54;2001.4;2087.82
2037.97;2001.4;2088.25
2038.39;2001.4;2088.69
2038.82;2001.4;2089.12
2039.25;2001.4;2089.55
2039.68;2001.4;2089.98
2040.1;2001.4;2090.42
2040.53;2001.4;2090.85
2040.96;2001.4;2091.28
2041.39;2001.4;2091.71
2041.81;2001.4;2092.15
2042.24;2001.4;2092.58
2042.67;2001.4;2093.01
2043.1;2001.4;2093.45
2043.52;2001.4;2093.88
2043.95;2001.4;2094.31
2044.38;2001.4;2094.74
2044.81;2001.4;2095.18
2045.23;2001.4;2095.61
2045.66;2001.4;2096.04
2046.09;2001.4;2096.48
2046.52;2001.4;2096.91
2046.95;2001.4;2097.34
2047.38;2001.4;2097.78
2047.8;2001.4;2098.21
2048.23;2001.4;2098.64
2048.66;2001.4;2099.08
2049.09;2001.4;2099.51
2049.52;2001.4;2099.94
2049.94;2001.4;2100.38
2050.37;2001.4;2100.38
2050.8;2001.4;2100.81
2051.23;2001.4;2101.25
2051.66;2001.4;2101.68
2052.09;2001.82;2102.11
2052.52;2002.24;2102.55
2052.94;2002.67;2102.98
2053.37;2003.09;2103.42
2053.8;2003.51;2103.85
2054.23;2003.94;2104.28
2054.66;2004.36;2104.72
2055.09;2004.78;2105.15
2055.52;2005.21;2105.59
2055.95;2005.63;2106.02
2056.38;2006.05;2106.45
2056.81;2006.48;2106.89
2057.23;2006.9;2107.32
2057.66;2007.33;2107.76
2058.09;2007.75;2108.19
2058.52;2008.17;2108.63
2058.95;2008.6;2109.06
2059.38;2009.02;2109.5
2059.81;2009.45;2109.93
2060.24;2009.87;2110.36
2060.67;2010.3;2110.8
2061.1;2010.72;2111.23
2061.53;2011.14;2111.67
2061.96;2011.57;2112.1
2062.39;2011.99;2112.54
2062.82;2012.42;2112.97
2063.25;2012.84;2113.41
2063.68;2013.27;2113.84
2064.11;2013.69;2114.28
2064.54;2014.12;2114.71
2064.97;2014.96;2115.15
2065.4;2015.39;2115.58
2065.83;2015.81;2116.02
2066.26;2016.24;2116.46
2066.69;2016.66;2116.89
2067.12;2017.09;2117.33
2067.55;2017.51;2117.76
2067.98;2017.94;2118.2
2068.41;2018.36;2118.63
2068.84;2018.79;2119.07
2069.27;2019.21;2119.5
2069.7;2019.64;2119.94
2070.13;2020.06;2120.38
2070.56;2020.49;2120.81
2070.99;2020.92;2121.25
2071.42;2021.34;2121.68
2071.85;2021.77;2122.12
2072.28;2022.19;2122.55
2072.71;2022.62;2122.99
2073.15;2023.04;2123.43
2073.58;2023.47;2123.86
2074.01;2023.89;2124.3
2074.44;2024.32;2124.73
2074.87;2024.75;2125.17
2075.3;2025.17;2125.61
2075.73;2025.6;2126.04
2076.16;2026.02;2126.48
2076.59;2026.45;2126.92
2077.02;2026.88;2127.35
2077.46;2027.3;2127.79
2077.89;2027.73;2128.23
2078.32;2028.15;2128.66
2078.75;2028.58;2129.1
2079.18;2029.01;2129.54
2079.61;2029.43;2129.97
2080.04;2029.86;2130.41
2080.48;2030.28;2130.85
2080.91;2030.71;2131.28
2081.34;2031.14;2131.72
2081.77;2031.56;2132.16
2082.2;2031.99;2132.59
2082.64;2032.42;2133.03
2083.07;2032.84;2133.47
2083.5;2033.27;2133.9
2083.93;2033.7;2134.34
2084.36;2034.12;2134.78
2084.79;2034.55;2135.22
2085.23;2034.98;2135.65
2085.66;2035.4;2136.09
2086.09;2035.83;2136.53
2086.52;2036.26;2136.53
2086.96;2036.69;2136.97
2087.39;2037.11;2137.4
2087.82;2037.54;2137.84
2088.25;2037.97;2138.28
2088.69;2038.39;2138.72
2089.12;2038.82;2139.15
2089.55;2039.25;2139.59
2089.98;2039.68;2140.03
2090.42;2040.1;2140.47
2090.85;2040.53;2140.9
2091.28;2040.96;2141.34
2091.71;2041.39;2141.78
2092.15;2041.81;2142.22
2092.58;2042.24;2142.66
2093.01;2042.67;2143.09
2093.45;2043.1;2143.53
2093.88;2043.52;2143.97
2094.31;2043.95;2144.41
2094.74;2044.38;2144.85
2095.18;2044.81;2145.29
2095.61;2045.23;2145.72
2096.04;2045.66;2146.16
2096.48;2046.09;2146.6
2096.91;2046.52;2147.04
2097.34;2046.95;2147.48
2097.78;2047.38;2147.92
2098.21;2047.8;2148.36
2098.64;2048.23;2148.79
2099.08;2048.66;2149.23
2099.51;2049.09;2149.67
2099.94;2049.52;2150.11
2100.38;2050.37;2150.55
2100.81;2050.8;2150.99
2101.25;2051.23;2151.43
2101.68;2051.66;2151.87
2102.11;2052.09;2152.3
2102.55;2052.52;2152.74
2102.98;2052.94;2153.18
2103.42;2053.37;2153.62
2103.85;2053.8;2154.06
2104.28;2054.23;2154.5
2104.72;2054.66;2154.94
2105.15;2055.09;2155.38
2105.59;2055.52;2155.82
