"SPEC#: 1, SIZE: 18429, TIME: 0.000000"	
1999.7	555
2000.13	563
2000.55	538
2000.97	607
2001.4	654
2001.82	614
2002.24	621
2002.67	633
2003.09	611
2003.51	590
2003.94	592
2004.36	559
2004.78	535
2005.21	558
2005.63	547
2006.05	563
2006.48	617
2006.9	647
2007.33	612
2007.75	616
2008.17	609
2008.6	586
2009.02	600
2009.45	617
2009.87	601
2010.3	613
2010.72	669
2011.14	711
2011.57	744
2011.99	715
2012.42	690
2012.84	696
2013.27	695
2013.69	698
2014.12	662
2014.54	655
2014.96	640
2015.39	645
2015.81	654
2016.24	665
2016.66	661
2017.09	651
2017.51	607
2017.94	633
2018.36	650
2018.79	632
2019.21	611
2019.64	627
2020.06	578
2020.49	607
2020.92	645
2021.34	664
2021.77	677
2022.19	654
2022.62	626
2023.04	658
2023.47	655
2023.89	616
2024.32	656
2024.75	694
2025.17	730
2025.6	749
2026.02	758
2026.45	779
2026.88	809
2027.3	863
2027.73	1018
2028.15	1112
2028.58	1405
2029.01	1884
2029.43	2127
2029.86	2082
2030.28	1938
2030.71	1645
2031.14	1481
2031.56	1294
2031.99	1095
2032.42	965
2032.84	862
2033.27	798
2033.7	715
2034.12	724
2034.55	722
2034.98	732
2035.4	698
2035.83	638
2036.26	644
2036.69	644
2037.11	641
2037.54	635
2037.97	600
2038.39	633
2038.82	615
2039.25	648
2039.68	705
2040.1	764
2040.53	780
2040.96	751
2041.39	747
2041.81	752
2042.24	789
2042.67	762
2043.1	753
2043.52	773
2043.95	830
2044.38	914
2044.81	981
2045.23	1073
2045.66	1156
2046.09	1128
2046.52	1078
2046.95	1016
2047.38	990
2047.8	896
2048.23	799
2048.66	742
2049.09	710
2049.52	690
2049.94	696
2050.37	674
2050.8	749
2051.23	823
2051.66	871
2052.09	858
2052.52	867
2052.94	842
2053.37	828
2053.8	821
2054.23	770
2054.66	733
2055.09	710
2055.52	701
2055.95	674
2056.38	753
2056.81	710
2057.23	678
2057.66	694
2058.09	634
2058.52	618
2058.95	662
2059.38	708
2059.81	692
2060.24	718
2060.67	716
2061.1	697
2061.53	708
2061.96	696
2062.39	653
2062.82	656
2063.25	727
2063.68	724
2064.11	734
2064.54	791
2064.97	802
2065.4	750
2065.83	750
2066.26	787
2066.69	820
2067.12	845
2067.55	881
2067.98	913
2068.41	963
2068.84	1011
2069.27	1138
2069.7	1277
2070.13	1492
2070.56	1892
2070.99	2551
2071.42	3329
2071.85	3518
2072.28	3386
2072.71	3081
2073.15	2579
2073.58	2266
2074.01	1781
2074.44	1492
2074.87	1311
2075.3	1105
2075.73	999
2076.16	918
2076.59	833
2077.02	830
2077.46	783
2077.89	731
2078.32	739
2078.75	748
2079.18	705
2079.61	740
2080.04	732
2080.48	735
2080.91	761
2081.34	775
2081.77	754
2082.2	781
2082.64	851
2083.07	882
2083.5	940
2083.93	953
2084.36	1013
2084.79	1069
2085.23	1167
2085.66	1363
2086.09	1472
2086.52	1579
2086.96	1746
2087.39	1936
2087.82	1969
2088.25	1937
2088.69	1875
2089.12	1639
2089.55	1505
2089.98	1305
2090.42	1110
2090.85	1027
2091.28	935
2091.71	920
2092.15	860
2092.58	846
2093.01	851
2093.45	907
2093.88	931
2094.31	889
2094.74	869
2095.18	810
2095.61	828
2096.04	851
2096.48	861
2096.91	825
2097.34	785
2097.78	829
2098.21	844
2098.64	822
2099.08	756
2099.51	798
2099.94	843
2100.38	826
2100.81	798
2101.25	816
2101.68	754
2102.11	715
2102.55	727
2102.98	677
2103.42	671
2103.85	702
2104.28	697
2104.72	696
2105.15	708
2105.59	713
2106.02	737
2106.45	693
2106.89	651
2107.32	660
2107.76	685
2108.19	658
2108.63	692
2109.06	758
2109.5	832
2109.93	906
2110.36	916
2110.8	910
2111.23	856
2111.67	820
2112.1	749
2112.54	777
2112.97	741
2113.41	649
2113.84	590
2114.28	604
2114.71	642
