"SPEC#: 1, SIZE: 18429, TIME: 0.000000"	
1999.7	787
2000.13	751
2000.55	720
2000.97	726
2001.4	719
2001.82	705
2002.24	730
2002.67	767
2003.09	820
2003.51	928
2003.94	908
2004.36	947
2004.78	1029
2005.21	1033
2005.63	960
2006.05	842
2006.48	762
2006.9	754
2007.33	771
2007.75	776
2008.17	799
2008.6	802
2009.02	713
2009.45	734
2009.87	723
2010.3	788
2010.72	901
2011.14	938
2011.57	887
2011.99	874
2012.42	958
2012.84	955
2013.27	928
2013.69	936
2014.12	931
2014.54	899
2014.96	921
2015.39	919
2015.81	821
2016.24	832
2016.66	830
2017.09	786
2017.51	771
2017.94	816
2018.36	822
2018.79	849
2019.21	826
2019.64	747
2020.06	710
2020.49	702
2020.92	725
2021.34	723
2021.77	727
2022.19	720
2022.62	700
2023.04	766
2023.47	817
2023.89	838
2024.32	802
2024.75	821
2025.17	897
2025.6	964
2026.02	931
2026.45	867
2026.88	826
2027.3	805
2027.73	799
2028.15	815
2028.58	875
2029.01	1046
2029.43	1234
2029.86	1394
2030.28	1350
2030.71	1251
2031.14	1108
2031.56	1119
2031.99	1052
2032.42	967
2032.84	865
2033.27	743
2033.7	777
2034.12	804
2034.55	781
2034.98	830
2035.4	830
2035.83	806
2036.26	796
2036.69	789
2037.11	784
2037.54	786
2037.97	731
2038.39	710
2038.82	677
2039.25	665
2039.68	671
2040.1	676
2040.53	686
2040.96	738
2041.39	852
2041.81	834
2042.24	776
2042.67	732
2043.1	743
2043.52	767
2043.95	818
2044.38	846
2044.81	900
2045.23	928
2045.66	956
2046.09	953
2046.52	941
2046.95	916
2047.38	840
2047.8	777
2048.23	741
2048.66	767
2049.09	764
2049.52	729
2049.94	738
2050.37	740
2050.8	703
2051.23	725
2051.66	720
2052.09	726
2052.52	751
2052.94	797
2053.37	848
2053.8	857
2054.23	801
2054.66	696
2055.09	698
2055.52	759
2055.95	767
2056.38	730
2056.81	744
2057.23	762
2057.66	722
2058.09	669
2058.52	671
2058.95	701
2059.38	682
2059.81	650
2060.24	647
2060.67	696
2061.1	691
2061.53	755
2061.96	814
2062.39	798
2062.82	816
2063.25	901
2063.68	874
2064.11	858
2064.54	868
2064.97	779
2065.4	725
2065.83	757
2066.26	812
2066.69	821
2067.12	811
2067.55	891
2067.98	885
2068.41	851
2068.84	875
2069.27	879
2069.7	858
2070.13	918
2070.56	1038
2070.99	1275
2071.42	1611
2071.85	1847
2072.28	1979
2072.71	1970
2073.15	1784
2073.58	1592
2074.01	1460
2074.44	1283
2074.87	1078
2075.3	920
2075.73	871
2076.16	880
2076.59	856
2077.02	842
2077.46	821
2077.89	758
2078.32	736
2078.75	717
2079.18	684
2079.61	707
2080.04	717
2080.48	763
2080.91	748
2081.34	740
2081.77	765
2082.2	767
2082.64	819
2083.07	846
2083.5	847
2083.93	880
2084.36	927
2084.79	960
2085.23	934
2085.66	960
2086.09	1055
2086.52	1106
2086.96	1162
2087.39	1285
2087.82	1363
2088.25	1321
2088.69	1316
2089.12	1161
2089.55	1170
2089.98	1116
2090.42	1002
