"SPEC#: 1, SIZE: 18429, TIME: 0.000000"	
1999.7	660
2000.13	660
2000.55	655
2000.97	703
2001.4	718
2001.82	714
2002.24	665
2002.67	635
2003.09	595
2003.51	629
2003.94	661
2004.36	657
2004.78	640
2005.21	620
2005.63	607
2006.05	656
2006.48	649
2006.9	665
2007.33	665
2007.75	630
2008.17	641
2008.6	661
2009.02	667
2009.45	670
2009.87	685
2010.3	711
2010.72	704
2011.14	716
2011.57	712
2011.99	681
2012.42	696
2012.84	733
2013.27	713
2013.69	693
2014.12	671
2014.54	729
2014.96	756
2015.39	674
2015.81	665
2016.24	713
2016.66	710
2017.09	665
2017.51	640
2017.94	631
2018.36	605
2018.79	630
2019.21	648
2019.64	674
2020.06	690
2020.49	672
2020.92	643
2021.34	607
2021.77	624
2022.19	673
2022.62	659
2023.04	677
2023.47	652
2023.89	716
2024.32	740
2024.75	726
2025.17	725
2025.6	778
2026.02	823
2026.45	862
2026.88	957
2027.3	1004
2027.73	1163
2028.15	1392
2028.58	1669
2029.01	2027
2029.43	2071
2029.86	2057
2030.28	1896
2030.71	1642
2031.14	1482
2031.56	1349
2031.99	1146
2032.42	972
2032.84	866
2033.27	817
2033.7	808
2034.12	829
2034.55	786
2034.98	783
2035.4	775
2035.83	726
2036.26	680
2036.69	663
2037.11	679
2037.54	701
2037.97	692
2038.39	721
2038.82	709
2039.25	727
2039.68	812
2040.1	879
2040.53	794
2040.96	783
2041.39	824
2041.81	877
2042.24	902
2042.67	867
2043.1	894
2043.52	953
2043.95	1047
2044.38	1155
2044.81	1223
2045.23	1273
2045.66	1207
2046.09	1112
2046.52	1058
2046.95	994
2047.38	948
2047.8	897
2048.23	838
2048.66	837
2049.09	757
2049.52	708
2049.94	743
2050.37	724
2050.8	739
2051.23	748
2051.66	802
2052.09	858
2052.52	860
2052.94	814
2053.37	822
2053.8	790
2054.23	745
2054.66	706
2055.09	731
2055.52	730
2055.95	779
2056.38	790
2056.81	763
2057.23	780
2057.66	743
2058.09	748
2058.52	748
2058.95	731
2059.38	785
2059.81	822
2060.24	831
2060.67	876
2061.1	852
2061.53	795
2061.96	811
2062.39	833
2062.82	842
2063.25	854
2063.68	847
2064.11	842
2064.54	884
2064.97	916
2065.4	847
2065.83	871
2066.26	947
2066.69	941
2067.12	917
2067.55	975
2067.98	1032
2068.41	1097
2068.84	1197
2069.27	1437
2069.7	1638
2070.13	2088
2070.56	2864
2070.99	3830
2071.42	4189
2071.85	4140
2072.28	4017
2072.71	3529
2073.15	2970
2073.58	2461
2074.01	2031
2074.44	1715
2074.87	1451
2075.3	1283
2075.73	1083
2076.16	930
2076.59	870
2077.02	872
2077.46	865
2077.89	816
2078.32	775
2078.75	786
2079.18	805
2079.61	809
2080.04	840
2080.48	878
2080.91	888
2081.34	919
2081.77	937
2082.2	1012
2082.64	1103
2083.07	1114
2083.5	1138
2083.93	1146
2084.36	1230
2084.79	1325
2085.23	1452
2085.66	1608
2086.09	1726
2086.52	1906
2086.96	2126
2087.39	2323
2087.82	2247
2088.25	2161
2088.69	1928
2089.12	1667
2089.55	1445
2089.98	1288
2090.42	1227
2090.85	1082
2091.28	1003
2091.71	927
2092.15	892
2092.58	842
2093.01	850
2093.45	839
2093.88	808
2094.31	833
2094.74	831
2095.18	804
2095.61	798
2096.04	762
2096.48	803
2096.91	848
2097.34	869
2097.78	850
2098.21	885
2098.64	923
2099.08	950
2099.51	971
2099.94	937
2100.38	941
2100.81	962
2101.25	861
2101.68	828
2102.11	829
2102.55	798
2102.98	778
2103.42	782
2103.85	835
2104.28	828
2104.72	785
2105.15	748
2105.59	748
2106.02	736
2106.45	716
2106.89	681
2107.32	643
2107.76	676
2108.19	702
2108.63	676
2109.06	683
2109.5	785
2109.93	780
2110.36	781
2110.8	749
2111.23	732
2111.67	754
2112.1	752
2112.54	746
2112.97	711
2113.41	671
2113.84	657
2114.28	702
2114.71	754
2115.15	734
2115.58	717
2116.02	752
2116.46	741
2116.89	720
2117.33	762
2117.76	758
2118.2	684
2118.63	735
2119.07	777
2119.5	741
2119.94	713
2120.38	717
2120.81	726
2121.25	723
2121.68	692
2122.12	685
2122.55	674
2122.99	681
2123.43	642
2123.86	624
2124.3	659
2124.73	686
2125.17	708
2125.61	642
2126.04	669
2126.48	685
2126.92	678
2127.35	687
2127.79	688
2128.23	705
2128.66	678
2129.1	635
2129.54	670
2129.97	720
2130.41	721
2130.85	728
2131.28	792
2131.72	810
2132.16	750
2132.59	670
2133.03	680
2133.47	744
2133.9	695
2134.34	708
2134.78	708
2135.22	702
2135.65	688
2136.09	633
2136.53	655
2136.97	663
2137.4	694
2137.84	662
2138.28	688
2138.72	718
2139.15	717
2139.59	716
2140.03	702
2140.47	700
2140.9	700
2141.34	724
2141.78	719
2142.22	646
2142.66	621
2143.09	622
2143.53	617
2143.97	613
2144.41	634
2144.85	617
2145.29	659
2145.72	767
2146.16	756
2146.6	733
2147.04	741
2147.48	726
2147.92	825
2148.36	769
2148.79	763
2149.23	737
2149.67	729
2150.11	698
2150.55	657
2150.99	672
2151.43	681
2151.87	704
2152.3	707
2152.74	726
2153.18	738
2153.62	751
2154.06	811
2154.5	826
2154.94	747
2155.38	731
2155.82	771
2156.26	781
2156.7	798
2157.14	796
2157.58	768
2158.02	732
2158.46	733
2158.89	769
2159.33	796
2159.77	802
2160.21	909
2160.65	1078
2161.09	1456
2161.53	2040
2161.97	2693
2162.41	3056
2162.85	3096
2163.29	2861
2163.73	2631
2164.17	2240
2164.61	1757
2165.06	1396
2165.5	1151
2165.94	1005
2166.38	862
2166.82	861
2167.26	886
2167.7	895
2168.14	854
2168.58	818
2169.02	807
2169.46	826
2169.9	771
2170.34	682
2170.78	654
2171.22	713
2171.67	718
2172.11	713
2172.55	779
2172.99	765
2173.43	775
2173.87	814
2174.31	845
2174.75	795
2175.19	796
2175.64	788
2176.08	778
2176.52	764
2176.96	722
2177.4	692
2177.84	687
2178.29	736
2178.73	756
2179.17	704
2179.61	628
2180.05	622
2180.49	720
2180.94	720
2181.38	684
2181.82	643
2182.26	637
2182.7	706
2183.15	711
2183.59	689
2184.03	754
2184.47	710
2184.92	650
2185.36	613
2185.8	608
2186.24	630
2186.69	688
2187.13	678
2187.57	627
2188.01	654
2188.46	652
2188.9	641
2189.34	644
2189.78	664
2190.23	683
2190.67	691
2191.11	674
2191.56	636
2192	655
2192.44	679
2192.89	711
2193.33	702
2193.77	678
2194.21	603
2194.66	648
2195.1	668
2195.54	680
2195.99	719
2196.43	664
2196.88	646
2197.32	643
2197.76	634
2198.21	606
2198.65	645
2199.09	680
2199.54	666
2199.98	697
2200.43	723
2200.87	743
2201.31	751
2201.76	727
2202.2	740
2202.65	735
2203.09	680
2203.53	727
2203.98	720
2204.42	685
2204.87	650
2205.31	657
2205.76	702
2206.2	658
2206.64	677
2207.09	723
2207.53	713
2207.98	695
2208.42	666
2208.87	640
2209.31	639
2209.76	624
2210.2	662
2210.65	599
2211.09	628
2211.54	659
2211.98	621
2212.43	605
2212.87	671
2213.32	664
2213.76	674
2214.21	677
2214.65	657
2215.1	684
2215.54	696
2215.99	721
2216.44	696
2216.88	674
2217.33	693
2217.77	672
2218.22	671
2218.66	682
2219.11	704
2219.56	690
2220	711
2220.45	741
2220.89	723
2221.34	673
2221.79	682
2222.23	681
2222.68	734
2223.12	705
2223.57	705
2224.02	679
2224.46	646
2224.91	671
2225.36	663
2225.8	630
2226.25	590
2226.69	622
2227.14	695
2227.59	685
2228.03	689
2228.48	727
2228.93	743
2229.38	729
2229.82	634
2230.27	637
2230.72	684
2231.16	724
2231.61	721
2232.06	713
2232.5	814
2232.95	911
2233.4	923
2233.85	961
2234.29	973
2234.74	848
2235.19	791
2235.64	737
2236.08	705
2236.53	680
2236.98	649
2237.43	663
2237.87	680
2238.32	705
2238.77	692
2239.22	680
2239.66	674
2240.11	690
2240.56	707
2241.01	715
2241.46	628
2241.9	617
2242.35	607
2242.8	638
2243.25	681
2243.7	705
2244.15	683
2244.59	657
2245.04	611
2245.49	602
2245.94	656
2246.39	645
2246.84	604
2247.28	650
2247.73	737
2248.18	731
2248.63	681
2249.08	634
2249.53	567
2249.98	541
2250.43	541
2250.88	585
2251.32	631
2251.77	629
2252.22	645
2252.67	615
2253.12	624
2253.57	627
2254.02	649
2254.47	650
2254.92	639
2255.37	626
2255.82	593
2256.27	665
2256.72	679
2257.17	642
2257.62	638
2258.06	664
2258.51	660
2258.96	669
2259.41	667
2259.86	647
2260.31	612
2260.76	640
2261.21	613
2261.66	579
2262.11	581
2262.56	577
2263.01	590
2263.46	641
2263.92	640
2264.37	613
2264.82	586
2265.27	597
2265.72	651
2266.17	716
2266.62	728
2267.07	676
2267.52	680
2267.97	632
2268.42	577
2268.87	568
2269.32	604
2269.77	683
2270.22	673
2270.67	650
2271.13	638
2271.58	632
2272.03	682
2272.48	661
2272.93	732
2273.38	738
2273.83	748
2274.28	786
2274.74	815
2275.19	769
2275.64	720
2276.09	749
2276.54	763
2276.99	731
2277.44	709
2277.9	668
2278.35	596
2278.8	602
2279.25	658
2279.7	704
2280.16	687
2280.61	692
2281.06	678
2281.51	630
2281.96	588
2282.42	597
2282.87	603
2283.32	609
2283.77	619
2284.22	655
2284.68	655
2285.13	634
2285.58	635
2286.03	661
2286.49	650
2286.94	654
2287.39	670
2287.84	766
2288.3	818
