"SPEC#: 1, SIZE: 18429, TIME: 0.000000"	
1999.7	387
2000.13	408
2000.55	383
2000.97	366
2001.4	395
2001.82	378
2002.24	376
2002.67	431
2003.09	461
2003.51	455
2003.94	437
2004.36	396
2004.78	372
2005.21	412
2005.63	426
2006.05	436
2006.48	393
2006.9	374
2007.33	386
2007.75	401
2008.17	416
2008.6	448
2009.02	408
2009.45	380
2009.87	373
2010.3	416
2010.72	434
2011.14	409
2011.57	406
2011.99	406
2012.42	397
2012.84	387
2013.27	350
2013.69	405
2014.12	456
2014.54	444
2014.96	448
2015.39	431
2015.81	410
2016.24	397
2016.66	374
2017.09	377
2017.51	363
2017.94	382
2018.36	401
2018.79	372
2019.21	371
2019.64	392
2020.06	441
2020.49	438
2020.92	431
2021.34	404
2021.77	400
2022.19	431
2022.62	426
2023.04	430
2023.47	428
2023.89	424
2024.32	396
2024.75	381
2025.17	424
2025.6	458
2026.02	456
2026.45	436
2026.88	465
2027.3	462
2027.73	441
2028.15	466
2028.58	510
2029.01	586
2029.43	578
2029.86	533
2030.28	484
2030.71	479
2031.14	450
2031.56	402
2031.99	446
2032.42	498
2032.84	477
2033.27	464
2033.7	481
2034.12	474
2034.55	431
2034.98	443
2035.4	459
2035.83	425
2036.26	359
2036.69	361
2037.11	408
2037.54	422
2037.97	394
2038.39	411
2038.82	390
2039.25	354
2039.68	405
2040.1	417
2040.53	405
2040.96	392
2041.39	382
2041.81	370
2042.24	452
2042.67	433
2043.1	437
2043.52	437
2043.95	411
2044.38	400
2044.81	426
2045.23	475
2045.66	489
2046.09	470
2046.52	454
2046.95	450
2047.38	440
2047.8	470
2048.23	480
2048.66	452
2049.09	411
2049.52	376
2049.94	398
2050.37	428
2050.8	441
2051.23	425
2051.66	389
2052.09	441
2052.52	458
2052.94	442
2053.37	434
2053.8	432
2054.23	415
2054.66	384
2055.09	371
2055.52	390
2055.95	431
2056.38	446
2056.81	356
2057.23	313
2057.66	347
2058.09	381
2058.52	414
2058.95	410
2059.38	429
2059.81	469
2060.24	447
2060.67	420
2061.1	388
2061.53	393
2061.96	449
2062.39	439
2062.82	408
2063.25	444
2063.68	465
2064.11	434
2064.54	424
2064.97	419
2065.4	396
2065.83	405
2066.26	380
2066.69	363
2067.12	405
2067.55	416
2067.98	398
2068.41	451
2068.84	483
2069.27	471
2069.7	448
2070.13	435
2070.56	492
2070.99	522
2071.42	595
2071.85	586
2072.28	597
2072.71	574
2073.15	521
2073.58	503
2074.01	499
2074.44	500
2074.87	457
