"SPEC#: 1, SIZE: 18429, TIME: 0.000000"	
1999.7	360
2000.13	375
2000.55	371
2000.97	366
2001.4	361
2001.82	355
2002.24	349
2002.67	337
2003.09	340
2003.51	335
2003.94	361
2004.36	386
2004.78	360
2005.21	341
2005.63	333
2006.05	357
2006.48	374
2006.9	360
2007.33	353
2007.75	333
2008.17	320
2008.6	306
2009.02	334
2009.45	382
2009.87	393
2010.3	367
2010.72	364
2011.14	342
2011.57	344
2011.99	380
2012.42	380
2012.84	385
2013.27	410
2013.69	388
2014.12	405
2014.54	379
2014.96	319
2015.39	328
2015.81	329
2016.24	323
2016.66	367
2017.09	382
2017.51	380
2017.94	386
2018.36	361
2018.79	326
2019.21	338
2019.64	323
2020.06	292
2020.49	318
2020.92	340
2021.34	356
2021.77	364
2022.19	360
2022.62	379
2023.04	359
2023.47	370
2023.89	372
2024.32	341
2024.75	338
2025.17	381
2025.6	377
2026.02	403
2026.45	413
2026.88	397
2027.3	411
2027.73	489
2028.15	532
2028.58	541
2029.01	634
2029.43	603
2029.86	583
2030.28	592
2030.71	571
2031.14	537
2031.56	496
2031.99	425
2032.42	386
2032.84	393
2033.27	405
2033.7	361
2034.12	368
2034.55	356
2034.98	370
2035.4	400
2035.83	401
2036.26	410
2036.69	371
2037.11	371
2037.54	381
2037.97	351
2038.39	334
2038.82	374
2039.25	321
2039.68	297
2040.1	331
2040.53	328
2040.96	332
2041.39	347
2041.81	360
2042.24	406
2042.67	418
2043.1	416
2043.52	402
2043.95	444
2044.38	464
2044.81	497
2045.23	488
2045.66	469
2046.09	476
2046.52	488
2046.95	435
2047.38	402
2047.8	405
2048.23	396
2048.66	418
2049.09	383
2049.52	400
2049.94	410
2050.37	363
2050.8	345
2051.23	336
2051.66	321
2052.09	336
2052.52	378
2052.94	388
2053.37	395
2053.8	423
2054.23	383
2054.66	322
2055.09	310
2055.52	324
2055.95	361
2056.38	345
2056.81	338
2057.23	358
2057.66	389
2058.09	377
2058.52	360
2058.95	316
2059.38	330
2059.81	349
2060.24	352
2060.67	352
2061.1	413
2061.53	433
2061.96	427
2062.39	416
2062.82	401
2063.25	370
2063.68	424
2064.11	444
2064.54	424
2064.97	363
2065.4	352
2065.83	362
2066.26	358
2066.69	347
2067.12	361
2067.55	423
2067.98	406
2068.41	446
2068.84	494
2069.27	488
2069.7	498
2070.13	551
2070.56	602
2070.99	725
2071.42	852
2071.85	894
2072.28	893
2072.71	849
2073.15	711
2073.58	695
2074.01	594
2074.44	494
2074.87	431
2075.3	405
2075.73	369
2076.16	362
2076.59	392
2077.02	363
2077.46	395
2077.89	353
2078.32	317
2078.75	335
2079.18	338
2079.61	342
2080.04	359
2080.48	363
2080.91	371
2081.34	366
2081.77	342
2082.2	389
2082.64	403
2083.07	366
2083.5	395
2083.93	425
2084.36	444
2084.79	510
2085.23	537
2085.66	551
2086.09	614
2086.52	647
2086.96	644
2087.39	649
2087.82	636
2088.25	626
2088.69	571
2089.12	541
2089.55	562
2089.98	532
2090.42	462
2090.85	465
2091.28	433
2091.71	462
2092.15	441
2092.58	408
2093.01	416
2093.45	376
2093.88	391
2094.31	364
2094.74	351
2095.18	393
2095.61	377
2096.04	359
2096.48	377
2096.91	382
2097.34	366
2097.78	372
2098.21	384
2098.64	365
2099.08	346
2099.51	377
2099.94	378
2100.38	342
2100.81	382
2101.25	405
2101.68	384
2102.11	406
2102.55	366
2102.98	410
2103.42	413
2103.85	389
2104.28	376
2104.72	348
2105.15	323
2105.59	359
2106.02	368
2106.45	395
2106.89	380
2107.32	359
2107.76	365
2108.19	344
2108.63	330
2109.06	328
2109.5	363
2109.93	410
2110.36	381
2110.8	361
2111.23	354
2111.67	390
2112.1	386
2112.54	393
2112.97	439
2113.41	421
2113.84	415
2114.28	406
2114.71	354
2115.15	368
2115.58	378
2116.02	374
2116.46	362
2116.89	345
2117.33	345
2117.76	328
2118.2	332
2118.63	364
2119.07	376
2119.5	368
2119.94	358
2120.38	355
2120.81	371
2121.25	363
2121.68	319
2122.12	309
2122.55	331
2122.99	319
2123.43	367
2123.86	395
2124.3	392
2124.73	391
2125.17	391
2125.61	368
2126.04	355
2126.48	346
2126.92	347
2127.35	382
2127.79	371
2128.23	352
2128.66	345
2129.1	345
2129.54	369
2129.97	371
2130.41	368
2130.85	358
2131.28	402
2131.72	393
2132.16	349
2132.59	356
2133.03	385
2133.47	368
2133.9	346
2134.34	326
2134.78	346
2135.22	359
2135.65	340
2136.09	335
2136.53	342
2136.97	390
2137.4	357
2137.84	348
2138.28	357
2138.72	379
2139.15	386
2139.59	417
2140.03	414
2140.47	387
2140.9	392
2141.34	365
2141.78	343
2142.22	343
2142.66	320
2143.09	288
2143.53	313
2143.97	339
2144.41	319
2144.85	324
2145.29	366
2145.72	410
2146.16	390
2146.6	395
2147.04	368
2147.48	392
2147.92	403
2148.36	382
2148.79	363
2149.23	382
2149.67	398
2150.11	367
2150.55	337
2150.99	354
2151.43	410
2151.87	397
2152.3	353
2152.74	384
2153.18	434
2153.62	405
2154.06	389
2154.5	424
2154.94	446
2155.38	389
2155.82	437
2156.26	468
2156.7	476
2157.14	423
2157.58	382
2158.02	379
2158.46	387
2158.89	365
2159.33	378
2159.77	429
2160.21	476
2160.65	537
2161.09	612
2161.53	744
2161.97	1103
2162.41	1520
2162.85	1663
2163.29	1675
2163.73	1571
2164.17	1298
2164.61	1022
2165.06	767
2165.5	640
2165.94	582
2166.38	511
2166.82	459
2167.26	446
2167.7	450
2168.14	485
2168.58	485
2169.02	432
2169.46	394
2169.9	388
2170.34	419
2170.78	424
2171.22	404
2171.67	425
2172.11	416
2172.55	363
2172.99	377
2173.43	456
2173.87	452
2174.31	468
2174.75	493
2175.19	512
2175.64	510
2176.08	504
2176.52	436
2176.96	445
2177.4	413
2177.84	380
2178.29	375
2178.73	412
2179.17	422
2179.61	399
2180.05	369
2180.49	346
2180.94	371
2181.38	424
2181.82	412
2182.26	399
2182.7	395
2183.15	368
2183.59	383
2184.03	399
2184.47	437
2184.92	413
2185.36	377
2185.8	375
2186.24	394
2186.69	391
2187.13	432
2187.57	432
2188.01	386
2188.46	379
2188.9	394
2189.34	418
2189.78	387
2190.23	363
2190.67	364
2191.11	351
2191.56	368
2192	399
2192.44	394
2192.89	398
2193.33	380
2193.77	346
2194.21	350
2194.66	366
2195.1	367
2195.54	367
2195.99	343
2196.43	318
2196.88	343
2197.32	369
2197.76	371
2198.21	373
2198.65	341
2199.09	326
2199.54	374
2199.98	356
2200.43	382
2200.87	361
2201.31	348
2201.76	309
2202.2	313
2202.65	314
2203.09	342
2203.53	377
2203.98	384
2204.42	448
2204.87	455
2205.31	409
2205.76	378
2206.2	356
2206.64	350
2207.09	327
2207.53	327
2207.98	358
2208.42	366
2208.87	362
2209.31	339
2209.76	378
2210.2	420
2210.65	408
2211.09	364
2211.54	350
2211.98	390
2212.43	400
2212.87	355
2213.32	310
2213.76	324
2214.21	342
2214.65	366
2215.1	376
2215.54	383
2215.99	375
2216.44	405
2216.88	377
2217.33	332
2217.77	329
2218.22	331
2218.66	333
2219.11	367
2219.56	405
2220	384
2220.45	394
2220.89	388
2221.34	363
2221.79	309
2222.23	333
2222.68	399
2223.12	388
2223.57	366
2224.02	346
2224.46	309
2224.91	295
2225.36	290
2225.8	311
2226.25	346
2226.69	332
2227.14	331
2227.59	341
2228.03	366
2228.48	334
2228.93	340
2229.38	336
2229.82	338
2230.27	375
2230.72	404
2231.16	409
2231.61	416
2232.06	426
2232.5	434
2232.95	491
2233.4	497
2233.85	493
2234.29	476
2234.74	467
2235.19	475
2235.64	441
2236.08	473
2236.53	463
2236.98	432
2237.43	377
2237.87	360
2238.32	346
2238.77	384
2239.22	378
2239.66	369
2240.11	366
2240.56	338
2241.01	319
2241.46	354
2241.9	389
2242.35	395
2242.8	383
2243.25	329
2243.7	338
2244.15	348
2244.59	352
2245.04	374
2245.49	392
2245.94	393
2246.39	362
2246.84	345
2247.28	319
2247.73	345
2248.18	367
2248.63	325
2249.08	336
2249.53	341
2249.98	354
2250.43	344
2250.88	317
2251.32	365
2251.77	403
2252.22	356
2252.67	309
2253.12	289
2253.57	318
2254.02	361
2254.47	378
2254.92	356
2255.37	397
2255.82	387
2256.27	344
2256.72	341
2257.17	340
2257.62	339
2258.06	387
2258.51	384
2258.96	382
2259.41	384
2259.86	382
2260.31	365
2260.76	356
2261.21	369
2261.66	380
2262.11	344
2262.56	343
2263.01	333
2263.46	366
2263.92	380
2264.37	351
2264.82	343
2265.27	343
2265.72	350
2266.17	395
2266.62	384
2267.07	377
2267.52	329
2267.97	329
2268.42	334
2268.87	312
2269.32	310
2269.77	345
2270.22	354
2270.67	350
2271.13	339
2271.58	333
2272.03	339
2272.48	333
2272.93	347
2273.38	352
2273.83	366
2274.28	409
2274.74	389
2275.19	381
2275.64	396
2276.09	360
2276.54	390
2276.99	416
2277.44	361
2277.9	354
2278.35	370
2278.8	383
2279.25	356
2279.7	359
2280.16	352
2280.61	359
2281.06	382
2281.51	342
2281.96	313
2282.42	342
2282.87	348
2283.32	326
2283.77	290
2284.22	276
2284.68	297
2285.13	285
2285.58	340
2286.03	376
2286.49	354
2286.94	370
2287.39	409
2287.84	403
2288.3	366
2288.75	394
2289.2	383
2289.66	342
2290.11	359
2290.56	379
2291.01	370
2291.47	354
2291.92	345
2292.37	311
2292.83	309
2293.28	301
2293.73	329
2294.19	363
2294.64	376
2295.09	403
