"SPEC#: 1, SIZE: 18429, TIME: 0.000000"	
1999.7	472
2000.13	476
2000.55	474
2000.97	467
2001.4	470
2001.82	438
2002.24	434
2002.67	424
2003.09	438
2003.51	426
2003.94	417
2004.36	373
2004.78	379
2005.21	392
2005.63	388
2006.05	387
2006.48	363
2006.9	406
2007.33	411
2007.75	421
2008.17	411
2008.6	380
2009.02	352
2009.45	373
2009.87	375
2010.3	406
2010.72	405
2011.14	380
2011.57	374
2011.99	402
2012.42	409
2012.84	395
2013.27	360
2013.69	374
2014.12	396
2014.54	377
2014.96	378
2015.39	401
2015.81	404
2016.24	395
2016.66	407
2017.09	450
2017.51	446
2017.94	372
2018.36	375
2018.79	410
2019.21	413
2019.64	391
2020.06	422
2020.49	435
2020.92	464
2021.34	422
2021.77	410
2022.19	385
2022.62	378
2023.04	398
2023.47	415
2023.89	419
2024.32	444
2024.75	445
2025.17	412
2025.6	420
2026.02	390
2026.45	361
2026.88	419
2027.3	403
2027.73	395
2028.15	419
2028.58	409
2029.01	429
2029.43	394
2029.86	365
2030.28	360
2030.71	355
2031.14	370
2031.56	383
2031.99	366
2032.42	368
2032.84	402
2033.27	386
2033.7	341
2034.12	340
2034.55	358
2034.98	431
2035.4	415
2035.83	390
2036.26	385
2036.69	386
2037.11	407
2037.54	399
2037.97	410
2038.39	420
2038.82	426
2039.25	386
2039.68	396
2040.1	388
2040.53	387
2040.96	377
2041.39	394
2041.81	394
2042.24	409
2042.67	408
2043.1	378
2043.52	383
2043.95	387
2044.38	393
2044.81	390
2045.23	414
2045.66	424
2046.09	404
2046.52	403
2046.95	392
2047.38	398
2047.8	391
2048.23	385
2048.66	367
2049.09	389
2049.52	429
2049.94	445
2050.37	443
2050.8	378
2051.23	353
2051.66	352
2052.09	356
2052.52	377
2052.94	409
2053.37	427
2053.8	393
2054.23	340
2054.66	387
2055.09	388
2055.52	386
2055.95	405
2056.38	386
2056.81	379
2057.23	407
2057.66	381
2058.09	381
2058.52	396
2058.95	395
2059.38	392
2059.81	413
2060.24	418
2060.67	430
2061.1	390
2061.53	401
2061.96	399
2062.39	394
2062.82	406
2063.25	414
2063.68	399
2064.11	357
2064.54	414
2064.97	470
2065.4	429
2065.83	396
2066.26	405
2066.69	395
2067.12	405
2067.55	382
2067.98	414
2068.41	437
2068.84	458
2069.27	515
2069.7	478
2070.13	484
2070.56	527
2070.99	502
2071.42	471
2071.85	509
2072.28	532
2072.71	535
2073.15	522
2073.58	505
2074.01	507
2074.44	494
2074.87	444
2075.3	412
2075.73	445
2076.16	434
2076.59	417
2077.02	418
2077.46	432
2077.89	426
2078.32	404
2078.75	415
2079.18	410
2079.61	391
2080.04	429
2080.48	434
2080.91	416
2081.34	445
2081.77	430
2082.2	435
2082.64	466
2083.07	450
2083.5	467
2083.93	474
2084.36	463
2084.79	457
2085.23	444
2085.66	457
2086.09	454
2086.52	438
2086.96	432
2087.39	428
2087.82	420
2088.25	420
2088.69	428
2089.12	400
2089.55	382
2089.98	413
2090.42	450
2090.85	452
2091.28	434
2091.71	424
2092.15	391
2092.58	460
2093.01	494
2093.45	493
2093.88	471
2094.31	497
2094.74	488
2095.18	446
2095.61	427
2096.04	416
2096.48	410
2096.91	428
2097.34	457
2097.78	453
2098.21	473
2098.64	488
2099.08	522
2099.51	485
2099.94	416
2100.38	421
2100.81	426
2101.25	434
2101.68	476
2102.11	510
2102.55	504
2102.98	503
2103.42	534
2103.85	553
2104.28	601
2104.72	576
2105.15	560
2105.59	578
2106.02	502
2106.45	482
2106.89	512
2107.32	563
2107.76	556
2108.19	520
2108.63	478
2109.06	443
2109.5	414
2109.93	437
2110.36	416
2110.8	443
2111.23	454
2111.67	417
2112.1	389
2112.54	404
2112.97	449
2113.41	474
2113.84	486
2114.28	501
2114.71	519
2115.15	522
2115.58	491
2116.02	517
2116.46	553
2116.89	480
2117.33	423
2117.76	482
2118.2	523
2118.63	514
2119.07	516
2119.5	520
2119.94	491
2120.38	474
2120.81	457
2121.25	490
2121.68	469
2122.12	489
2122.55	514
2122.99	493
2123.43	462
2123.86	474
2124.3	502
2124.73	467
2125.17	481
2125.61	509
2126.04	483
2126.48	490
2126.92	529
2127.35	547
2127.79	599
2128.23	594
2128.66	564
2129.1	537
2129.54	527
2129.97	549
2130.41	523
2130.85	503
2131.28	507
2131.72	545
2132.16	578
2132.59	634
2133.03	668
2133.47	745
2133.9	884
2134.34	1199
2134.78	1555
2135.22	1942
2135.65	2255
2136.09	2424
2136.53	2221
2136.97	2006
2137.4	1688
2137.84	1296
2138.28	1039
2138.72	979
2139.15	955
2139.59	858
2140.03	774
2140.47	760
2140.9	730
2141.34	707
2141.78	672
2142.22	634
2142.66	668
2143.09	735
2143.53	702
2143.97	654
2144.41	648
2144.85	647
2145.29	685
2145.72	712
2146.16	732
2146.6	692
2147.04	666
2147.48	685
2147.92	629
2148.36	582
2148.79	577
2149.23	564
2149.67	577
2150.11	556
2150.55	553
2150.99	612
2151.43	610
2151.87	600
2152.3	595
2152.74	590
2153.18	534
2153.62	510
2154.06	523
2154.5	556
2154.94	555
2155.38	530
2155.82	529
2156.26	524
2156.7	481
2157.14	457
2157.58	532
2158.02	562
2158.46	554
2158.89	501
2159.33	445
2159.77	455
2160.21	451
2160.65	440
2161.09	471
2161.53	529
2161.97	508
2162.41	475
2162.85	470
2163.29	511
2163.73	519
2164.17	507
2164.61	490
2165.06	460
2165.5	473
2165.94	478
2166.38	480
2166.82	483
2167.26	429
2167.7	442
2168.14	434
2168.58	456
2169.02	454
2169.46	443
2169.9	412
2170.34	419
2170.78	426
2171.22	435
2171.67	421
2172.11	406
2172.55	423
2172.99	415
2173.43	432
2173.87	458
2174.31	454
2174.75	438
2175.19	419
2175.64	448
2176.08	499
2176.52	538
2176.96	477
2177.4	440
2177.84	485
2178.29	499
2178.73	521
2179.17	596
2179.61	669
2180.05	743
2180.49	887
2180.94	849
2181.38	734
2181.82	617
2182.26	548
2182.7	506
2183.15	526
2183.59	552
2184.03	579
2184.47	553
2184.92	511
2185.36	515
2185.8	498
2186.24	582
2186.69	568
2187.13	550
2187.57	579
2188.01	539
2188.46	545
2188.9	523
2189.34	501
2189.78	506
2190.23	538
2190.67	529
2191.11	486
2191.56	514
2192	524
2192.44	509
2192.89	494
2193.33	446
2193.77	464
2194.21	532
2194.66	524
2195.1	488
2195.54	435
2195.99	464
2196.43	494
2196.88	501
2197.32	471
2197.76	492
2198.21	526
2198.65	482
2199.09	478
2199.54	486
2199.98	476
2200.43	504
2200.87	507
2201.31	468
2201.76	462
2202.2	483
2202.65	445
2203.09	403
2203.53	404
2203.98	417
2204.42	444
2204.87	493
2205.31	534
2205.76	581
2206.2	645
2206.64	689
2207.09	645
2207.53	588
2207.98	520
2208.42	486
2208.87	504
2209.31	509
2209.76	504
2210.2	473
2210.65	450
2211.09	418
2211.54	403
2211.98	382
2212.43	436
2212.87	453
2213.32	425
2213.76	425
2214.21	419
2214.65	450
2215.1	496
2215.54	487
2215.99	483
2216.44	450
2216.88	481
2217.33	454
2217.77	435
2218.22	450
2218.66	444
2219.11	430
2219.56	444
2220	432
2220.45	391
2220.89	410
2221.34	402
2221.79	394
2222.23	436
2222.68	446
2223.12	448
2223.57	438
2224.02	397
2224.46	394
2224.91	414
2225.36	452
2225.8	462
2226.25	417
2226.69	389
2227.14	413
2227.59	426
2228.03	416
2228.48	464
2228.93	450
2229.38	438
2229.82	437
2230.27	409
2230.72	384
2231.16	415
2231.61	461
2232.06	462
2232.5	408
2232.95	360
2233.4	373
2233.85	399
2234.29	451
2234.74	418
2235.19	391
2235.64	423
2236.08	413
2236.53	398
2236.98	405
2237.43	418
2237.87	439
2238.32	463
2238.77	408
2239.22	402
2239.66	433
2240.11	412
2240.56	397
2241.01	403
2241.46	403
2241.9	417
2242.35	411
2242.8	406
2243.25	370
2243.7	329
2244.15	345
2244.59	368
2245.04	403
2245.49	374
2245.94	411
2246.39	410
2246.84	418
2247.28	422
2247.73	417
2248.18	418
2248.63	418
2249.08	439
2249.53	436
2249.98	386
2250.43	392
2250.88	404
2251.32	412
2251.77	414
2252.22	367
2252.67	353
2253.12	374
2253.57	416
2254.02	408
2254.47	401
2254.92	434
2255.37	466
2255.82	427
2256.27	397
2256.72	383
2257.17	419
2257.62	441
2258.06	426
2258.51	425
2258.96	459
2259.41	458
2259.86	441
2260.31	461
2260.76	474
2261.21	456
2261.66	429
2262.11	374
2262.56	374
2263.01	384
2263.46	400
2263.92	407
2264.37	425
2264.82	445
2265.27	450
2265.72	444
2266.17	493
2266.62	471
2267.07	461
2267.52	472
2267.97	483
2268.42	483
2268.87	448
2269.32	381
2269.77	405
2270.22	428
2270.67	459
2271.13	494
2271.58	452
2272.03	412
2272.48	430
2272.93	462
2273.38	462
2273.83	446
2274.28	479
2274.74	508
2275.19	525
2275.64	462
2276.09	474
2276.54	479
2276.99	466
2277.44	485
2277.9	472
2278.35	442
2278.8	448
2279.25	481
2279.7	488
2280.16	450
2280.61	461
2281.06	452
2281.51	442
2281.96	416
2282.42	419
2282.87	439
2283.32	418
2283.77	420
2284.22	441
2284.68	451
2285.13	436
2285.58	385
2286.03	411
2286.49	424
2286.94	422
2287.39	398
2287.84	410
2288.3	451
2288.75	415
2289.2	411
2289.66	451
2290.11	449
2290.56	398
2291.01	427
2291.47	433
2291.92	485
2292.37	513
2292.83	471
2293.28	415
2293.73	430
2294.19	450
2294.64	480
2295.09	487
2295.55	483
2296	514
2296.45	505
2296.91	463
2297.36	458
2297.81	480
2298.27	456
2298.72	450
2299.18	437
2299.63	383
2300.08	396
2300.54	425
2300.99	477
2301.44	512
2301.9	490
2302.35	483
2302.81	469
2303.26	453
2303.72	445
2304.17	451
2304.62	427
2305.08	427
2305.53	472
2305.99	517
2306.44	476
2306.9	456
2307.35	474
2307.81	494
2308.26	455
2308.72	446
2309.17	482
2309.62	475
2310.08	443
2310.53	407
2310.99	426
2311.44	433
2311.9	462
2312.35	478
2312.81	469
2313.26	470
2313.72	513
2314.18	521
2314.63	463
2315.09	463
2315.54	527
2316	552
2316.45	592
2316.91	646
2317.36	593
2317.82	494
2318.27	458
2318.73	435
2319.19	443
2319.64	447
2320.1	471
2320.55	504
2321.01	476
2321.47	440
2321.92	406
2322.38	389
2322.83	445
2323.29	508
2323.75	451
2324.2	438
2324.66	483
2325.12	453
2325.57	466
2326.03	463
2326.48	447
2326.94	457
2327.4	501
2327.85	488
2328.31	441
2328.77	469
2329.22	474
2329.68	435
2330.14	438
2330.59	438
2331.05	508
2331.51	552
2331.97	517
2332.42	478
2332.88	484
2333.34	555
2333.79	591
2334.25	577
2334.71	562
2335.17	589
2335.62	581
2336.08	551
2336.54	482
2337	434
2337.45	457
2337.91	479
2338.37	437
2338.83	455
2339.28	502
2339.74	503
2340.2	455
2340.66	412
2341.12	422
2341.57	475
2342.03	472
2342.49	460
2342.95	467
2343.41	480
2343.86	463
2344.32	446
2344.78	479
2345.24	449
2345.7	460
2346.16	434
2346.61	460
2347.07	478
2347.53	468
2347.99	444
2348.45	488
2348.91	501
2349.37	495
2349.82	483
2350.28	425
2350.74	431
2351.2	472
2351.66	511
2352.12	557
2352.58	615
2353.04	526
2353.5	533
2353.96	584
2354.41	576
2354.87	559
2355.33	520
2355.79	490
2356.25	562
2356.71	685
2357.17	804
2357.63	963
2358.09	1032
2358.55	1028
2359.01	945
2359.47	854
2359.93	767
2360.39	700
2360.85	663
2361.31	595
2361.77	564
2362.23	545
2362.69	544
2363.15	553
2363.61	561
2364.07	554
2364.53	559
2364.99	558
2365.45	558
2365.91	551
2366.37	561
2366.83	588
2367.29	552
2367.75	540
2368.21	512
2368.67	502
2369.13	533
2369.59	507
2370.05	449
2370.52	429
2370.98	439
2371.44	466
2371.9	463
2372.36	458
2372.82	476
2373.28	447
2373.74	447
2374.2	452
2374.66	497
2375.13	453
2375.59	437
2376.05	441
2376.51	403
2376.97	433
2377.43	463
2377.89	497
2378.36	499
2378.82	475
2379.28	442
2379.74	423
2380.2	420
2380.66	439
2381.13	442
2381.59	462
2382.05	470
2382.51	456
2382.97	482
2383.44	533
2383.9	495
2384.36	475
2384.82	474
2385.28	471
2385.75	454
2386.21	459
2386.67	464
2387.13	541
2387.6	568
2388.06	606
2388.52	598
2388.98	597
2389.45	653
2389.91	663
2390.37	604
2390.83	574
2391.3	521
2391.76	490
2392.22	507
2392.69	457
2393.15	418
2393.61	419
2394.08	410
2394.54	436
2395	446
2395.47	453
2395.93	444
2396.39	452
2396.86	468
2397.32	466
2397.78	509
2398.25	517
2398.71	487
2399.17	466
2399.64	493
2400.1	550
2400.56	505
2401.03	511
2401.49	557
2401.95	584
2402.42	573
2402.88	564
2403.35	534
2403.81	483
2404.27	533
2404.74	529
2405.2	530
2405.67	564
2406.13	552
2406.6	542
2407.06	542
2407.52	529
2407.99	469
2408.45	435
2408.92	416
2409.38	436
2409.85	459
2410.31	499
2410.78	505
2411.24	470
2411.71	491
2412.17	499
2412.64	492
2413.1	507
2413.57	479
2414.03	498
2414.5	458
