"SPEC#: 1, SIZE: 18429, TIME: 0.000000"	
1999.7	741
2000.13	740
2000.55	805
2000.97	808
2001.4	767
2001.82	706
2002.24	640
2002.67	658
2003.09	634
2003.51	624
2003.94	610
2004.36	624
2004.78	608
2005.21	583
2005.63	573
2006.05	569
2006.48	617
2006.9	651
2007.33	683
2007.75	767
2008.17	766
2008.6	789
2009.02	851
2009.45	866
2009.87	815
2010.3	781
2010.72	782
2011.14	724
2011.57	720
2011.99	685
2012.42	676
2012.84	651
2013.27	662
2013.69	683
2014.12	627
2014.54	675
2014.96	689
2015.39	648
2015.81	663
2016.24	671
2016.66	719
2017.09	716
2017.51	652
2017.94	616
2018.36	587
2018.79	637
2019.21	660
2019.64	695
2020.06	702
2020.49	676
2020.92	671
2021.34	702
2021.77	729
2022.19	711
2022.62	672
2023.04	666
2023.47	651
2023.89	689
2024.32	688
2024.75	681
2025.17	656
2025.6	695
2026.02	677
2026.45	644
2026.88	648
2027.3	635
2027.73	663
2028.15	644
2028.58	618
2029.01	657
2029.43	693
2029.86	650
2030.28	631
2030.71	635
2031.14	663
2031.56	642
2031.99	636
2032.42	654
2032.84	692
2033.27	733
2033.7	768
2034.12	733
2034.55	685
2034.98	693
2035.4	688
2035.83	708
2036.26	695
2036.69	693
2037.11	717
2037.54	690
2037.97	646
2038.39	636
2038.82	642
2039.25	678
2039.68	727
2040.1	690
2040.53	667
2040.96	660
2041.39	680
2041.81	664
2042.24	700
2042.67	686
2043.1	761
2043.52	755
2043.95	744
2044.38	688
2044.81	640
2045.23	671
2045.66	683
2046.09	650
2046.52	614
2046.95	619
2047.38	667
2047.8	667
2048.23	654
2048.66	666
2049.09	643
2049.52	627
2049.94	636
2050.37	678
2050.8	712
2051.23	726
2051.66	719
2052.09	693
2052.52	649
2052.94	653
2053.37	670
2053.8	657
2054.23	670
2054.66	638
2055.09	672
2055.52	668
2055.95	655
2056.38	729
2056.81	753
2057.23	829
2057.66	853
2058.09	837
2058.52	791
2058.95	768
2059.38	755
2059.81	711
2060.24	718
2060.67	681
2061.1	660
2061.53	685
2061.96	735
2062.39	721
2062.82	784
2063.25	785
2063.68	750
2064.11	752
2064.54	713
2064.97	662
2065.4	711
2065.83	749
2066.26	722
2066.69	678
2067.12	668
2067.55	713
2067.98	738
2068.41	755
2068.84	784
2069.27	786
2069.7	744
2070.13	713
2070.56	678
2070.99	675
2071.42	720
2071.85	752
2072.28	712
2072.71	727
2073.15	729
2073.58	731
2074.01	817
2074.44	829
2074.87	782
2075.3	774
2075.73	699
2076.16	728
2076.59	764
2077.02	768
2077.46	767
2077.89	726
2078.32	715
2078.75	673
2079.18	660
2079.61	664
2080.04	720
2080.48	713
2080.91	666
2081.34	643
2081.77	713
2082.2	707
2082.64	710
2083.07	687
2083.5	689
2083.93	685
2084.36	660
2084.79	682
2085.23	662
2085.66	680
2086.09	774
2086.52	734
2086.96	701
2087.39	709
2087.82	695
2088.25	745
2088.69	738
2089.12	669
2089.55	691
2089.98	709
2090.42	700
2090.85	648
2091.28	682
2091.71	672
2092.15	667
2092.58	664
2093.01	698
2093.45	696
2093.88	723
2094.31	716
2094.74	688
2095.18	698
2095.61	707
2096.04	683
2096.48	666
2096.91	697
2097.34	702
2097.78	711
2098.21	684
2098.64	683
2099.08	694
2099.51	687
2099.94	642
2100.38	739
2100.81	809
2101.25	810
2101.68	757
2102.11	762
2102.55	775
2102.98	798
2103.42	834
2103.85	832
2104.28	901
2104.72	908
2105.15	898
2105.59	835
2106.02	777
2106.45	734
2106.89	750
2107.32	762
2107.76	800
2108.19	742
2108.63	700
2109.06	715
2109.5	735
2109.93	751
2110.36	769
2110.8	781
2111.23	731
2111.67	718
2112.1	700
2112.54	745
2112.97	749
2113.41	673
2113.84	650
2114.28	681
2114.71	715
2115.15	720
2115.58	749
2116.02	741
2116.46	703
2116.89	638
2117.33	717
2117.76	765
2118.2	747
2118.63	721
2119.07	733
2119.5	744
2119.94	704
2120.38	671
2120.81	667
2121.25	656
2121.68	610
2122.12	632
2122.55	651
2122.99	685
2123.43	717
2123.86	713
2124.3	713
2124.73	702
2125.17	689
2125.61	710
2126.04	694
2126.48	704
2126.92	741
2127.35	726
2127.79	729
2128.23	703
2128.66	698
2129.1	691
2129.54	737
2129.97	754
2130.41	731
2130.85	711
2131.28	682
2131.72	684
2132.16	710
2132.59	764
2133.03	676
2133.47	677
2133.9	698
2134.34	695
2134.78	725
2135.22	742
2135.65	779
2136.09	846
2136.53	776
2136.97	665
2137.4	677
2137.84	763
2138.28	782
2138.72	680
2139.15	647
2139.59	663
2140.03	683
2140.47	718
2140.9	730
2141.34	769
2141.78	769
2142.22	724
2142.66	684
2143.09	655
2143.53	653
2143.97	718
2144.41	677
2144.85	678
2145.29	722
2145.72	739
2146.16	723
2146.6	717
2147.04	689
2147.48	640
2147.92	637
2148.36	623
2148.79	677
2149.23	694
2149.67	706
2150.11	707
2150.55	734
2150.99	706
2151.43	700
2151.87	704
2152.3	662
2152.74	660
2153.18	698
2153.62	729
2154.06	680
2154.5	678
2154.94	682
2155.38	719
2155.82	689
2156.26	680
2156.7	660
2157.14	640
2157.58	623
2158.02	668
2158.46	672
2158.89	654
2159.33	697
2159.77	707
2160.21	704
2160.65	705
2161.09	692
2161.53	666
2161.97	675
2162.41	754
2162.85	757
2163.29	761
2163.73	738
2164.17	717
2164.61	732
2165.06	718
2165.5	689
2165.94	700
2166.38	689
2166.82	705
2167.26	721
2167.7	750
2168.14	700
2168.58	716
2169.02	767
