"SPEC#: 1, SIZE: 18429, TIME: 0.000000"	
1999.7	520
2000.13	508
2000.55	522
2000.97	524
2001.4	509
2001.82	515
2002.24	472
2002.67	490
2003.09	542
2003.51	541
2003.94	490
2004.36	508
2004.78	526
2005.21	489
2005.63	495
2006.05	509
2006.48	532
2006.9	550
2007.33	547
2007.75	494
2008.17	483
2008.6	497
2009.02	537
2009.45	589
2009.87	592
2010.3	558
2010.72	543
2011.14	609
2011.57	595
2011.99	544
2012.42	527
2012.84	554
2013.27	538
2013.69	526
2014.12	511
2014.54	513
2014.96	515
2015.39	517
2015.81	526
2016.24	505
2016.66	511
2017.09	527
2017.51	545
2017.94	537
2018.36	551
2018.79	550
2019.21	507
2019.64	495
2020.06	503
2020.49	499
2020.92	520
2021.34	547
2021.77	541
2022.19	551
2022.62	553
2023.04	518
2023.47	463
2023.89	469
2024.32	465
2024.75	474
2025.17	507
2025.6	563
2026.02	582
2026.45	567
2026.88	540
2027.3	516
2027.73	502
2028.15	538
2028.58	534
2029.01	501
2029.43	511
2029.86	542
2030.28	536
2030.71	499
2031.14	498
2031.56	558
2031.99	582
2032.42	541
2032.84	521
2033.27	511
2033.7	496
2034.12	508
2034.55	514
2034.98	559
2035.4	606
2035.83	556
2036.26	487
2036.69	492
2037.11	534
2037.54	558
2037.97	540
2038.39	512
2038.82	514
2039.25	529
2039.68	572
2040.1	570
2040.53	553
2040.96	561
2041.39	522
2041.81	511
2042.24	505
2042.67	492
2043.1	492
2043.52	463
2043.95	474
2044.38	515
2044.81	549
2045.23	585
2045.66	548
2046.09	498
2046.52	468
2046.95	467
2047.38	513
2047.8	535
2048.23	531
2048.66	526
2049.09	522
2049.52	512
2049.94	535
2050.37	536
2050.8	595
2051.23	568
2051.66	496
2052.09	486
2052.52	515
2052.94	508
2053.37	523
2053.8	511
2054.23	500
2054.66	497
2055.09	517
2055.52	507
2055.95	507
2056.38	505
2056.81	522
2057.23	503
2057.66	511
2058.09	537
2058.52	619
2058.95	667
2059.38	681
2059.81	658
2060.24	645
2060.67	606
2061.1	587
2061.53	572
2061.96	557
2062.39	508
2062.82	487
2063.25	505
2063.68	536
2064.11	589
2064.54	622
2064.97	625
2065.4	580
2065.83	528
2066.26	495
2066.69	527
2067.12	548
2067.55	547
2067.98	553
2068.41	561
2068.84	551
2069.27	541
2069.7	540
2070.13	553
2070.56	552
2070.99	531
2071.42	567
2071.85	577
2072.28	628
2072.71	619
2073.15	634
2073.58	660
2074.01	648
2074.44	633
2074.87	572
2075.3	549
2075.73	525
2076.16	521
2076.59	552
2077.02	596
2077.46	568
2077.89	543
2078.32	541
2078.75	550
2079.18	548
2079.61	526
2080.04	494
2080.48	512
2080.91	548
2081.34	568
2081.77	562
2082.2	553
2082.64	542
2083.07	510
2083.5	539
2083.93	539
2084.36	518
2084.79	511
2085.23	543
2085.66	573
2086.09	584
2086.52	585
2086.96	564
2087.39	551
2087.82	522
2088.25	509
2088.69	538
2089.12	527
2089.55	577
2089.98	593
2090.42	545
2090.85	501
2091.28	509
2091.71	542
2092.15	507
2092.58	487
2093.01	516
2093.45	567
2093.88	600
2094.31	546
2094.74	560
2095.18	573
2095.61	574
2096.04	599
2096.48	517
2096.91	494
2097.34	525
2097.78	535
2098.21	529
2098.64	536
2099.08	510
2099.51	533
2099.94	544
2100.38	559
2100.81	570
2101.25	563
2101.68	568
2102.11	561
2102.55	537
2102.98	507
2103.42	575
2103.85	708
2104.28	811
2104.72	894
2105.15	881
2105.59	723
2106.02	635
2106.45	602
2106.89	607
2107.32	638
2107.76	617
2108.19	574
2108.63	551
2109.06	543
2109.5	530
2109.93	544
2110.36	573
2110.8	559
2111.23	559
2111.67	594
2112.1	552
2112.54	565
2112.97	576
2113.41	545
2113.84	565
2114.28	604
2114.71	567
2115.15	521
2115.58	585
2116.02	598
2116.46	552
2116.89	525
2117.33	539
2117.76	546
2118.2	538
2118.63	528
2119.07	530
2119.5	539
2119.94	526
2120.38	547
2120.81	544
2121.25	522
2121.68	509
2122.12	557
2122.55	572
2122.99	583
2123.43	567
2123.86	580
2124.3	632
2124.73	632
2125.17	663
2125.61	636
2126.04	592
2126.48	565
2126.92	546
2127.35	523
2127.79	530
2128.23	544
2128.66	544
2129.1	533
2129.54	534
2129.97	519
2130.41	562
2130.85	571
2131.28	556
2131.72	554
2132.16	634
2132.59	648
2133.03	669
2133.47	619
2133.9	548
2134.34	545
2134.78	530
2135.22	551
2135.65	565
2136.09	572
2136.53	602
2136.97	600
2137.4	574
2137.84	515
2138.28	533
2138.72	548
2139.15	550
2139.59	527
2140.03	557
2140.47	574
2140.9	552
2141.34	497
2141.78	508
2142.22	569
2142.66	617
2143.09	545
2143.53	573
2143.97	595
2144.41	529
2144.85	525
2145.29	561
2145.72	547
2146.16	556
2146.6	562
2147.04	589
2147.48	538
2147.92	512
2148.36	525
2148.79	519
2149.23	548
2149.67	591
2150.11	596
2150.55	578
2150.99	570
2151.43	513
2151.87	461
2152.3	494
2152.74	574
2153.18	588
2153.62	536
2154.06	538
2154.5	520
2154.94	526
2155.38	575
2155.82	614
2156.26	556
2156.7	532
2157.14	541
2157.58	571
2158.02	549
2158.46	545
2158.89	534
2159.33	502
2159.77	502
2160.21	548
2160.65	567
2161.09	541
2161.53	550
2161.97	588
2162.41	591
2162.85	625
2163.29	612
2163.73	580
2164.17	570
2164.61	547
2165.06	545
2165.5	564
2165.94	619
2166.38	625
