"SPEC#: 1, SIZE: 18429, TIME: 0.000000"	
1999.7	513
2000.13	532
2000.55	557
2000.97	549
2001.4	478
2001.82	432
2002.24	472
2002.67	445
2003.09	458
2003.51	478
2003.94	428
2004.36	433
2004.78	459
2005.21	447
2005.63	434
2006.05	451
2006.48	420
2006.9	426
2007.33	456
2007.75	445
2008.17	441
2008.6	427
2009.02	432
2009.45	438
2009.87	452
2010.3	463
2010.72	470
2011.14	472
2011.57	451
2011.99	402
2012.42	413
2012.84	429
2013.27	455
2013.69	443
2014.12	450
2014.54	417
2014.96	392
2015.39	424
2015.81	420
2016.24	396
2016.66	427
2017.09	411
2017.51	442
2017.94	459
2018.36	432
2018.79	455
2019.21	458
2019.64	427
2020.06	394
2020.49	430
2020.92	469
2021.34	457
2021.77	449
2022.19	416
2022.62	379
2023.04	407
2023.47	416
2023.89	417
2024.32	399
2024.75	360
2025.17	390
2025.6	347
2026.02	316
2026.45	344
2026.88	386
2027.3	397
2027.73	407
2028.15	431
2028.58	416
2029.01	388
2029.43	388
2029.86	421
2030.28	447
2030.71	433
2031.14	399
2031.56	381
2031.99	416
2032.42	447
2032.84	381
2033.27	381
2033.7	427
2034.12	449
2034.55	422
2034.98	408
2035.4	412
2035.83	402
2036.26	372
2036.69	386
2037.11	440
2037.54	453
2037.97	481
2038.39	514
2038.82	520
2039.25	486
2039.68	449
2040.1	393
2040.53	423
2040.96	459
2041.39	441
2041.81	432
2042.24	441
2042.67	453
2043.1	443
2043.52	472
2043.95	437
2044.38	470
2044.81	471
2045.23	445
2045.66	450
2046.09	448
2046.52	454
2046.95	412
2047.38	398
2047.8	440
2048.23	384
2048.66	357
2049.09	383
2049.52	405
2049.94	408
2050.37	435
2050.8	425
2051.23	424
2051.66	457
2052.09	432
2052.52	407
2052.94	406
2053.37	427
2053.8	423
2054.23	456
2054.66	439
2055.09	423
2055.52	434
2055.95	454
2056.38	504
2056.81	483
2057.23	439
2057.66	442
2058.09	443
2058.52	444
2058.95	456
2059.38	476
2059.81	463
2060.24	419
2060.67	434
2061.1	468
2061.53	458
2061.96	472
2062.39	485
2062.82	477
2063.25	489
2063.68	493
2064.11	440
2064.54	417
2064.97	428
2065.4	454
2065.83	478
2066.26	521
2066.69	499
2067.12	482
2067.55	491
2067.98	509
2068.41	583
2068.84	592
2069.27	581
2069.7	604
2070.13	616
2070.56	593
2070.99	570
2071.42	543
2071.85	472
2072.28	419
2072.71	434
2073.15	453
2073.58	469
2074.01	479
2074.44	469
2074.87	477
2075.3	445
2075.73	463
2076.16	458
2076.59	472
2077.02	493
2077.46	545
2077.89	565
2078.32	494
2078.75	438
2079.18	423
2079.61	442
2080.04	459
2080.48	477
2080.91	477
2081.34	439
2081.77	477
2082.2	464
2082.64	474
2083.07	452
2083.5	434
2083.93	443
2084.36	453
2084.79	452
2085.23	439
2085.66	430
2086.09	426
2086.52	400
2086.96	434
2087.39	433
2087.82	445
2088.25	426
2088.69	440
2089.12	492
2089.55	570
2089.98	597
2090.42	551
2090.85	511
2091.28	521
2091.71	544
2092.15	532
2092.58	499
2093.01	502
2093.45	519
2093.88	499
2094.31	437
2094.74	452
2095.18	466
2095.61	433
2096.04	431
2096.48	417
2096.91	447
2097.34	442
2097.78	426
2098.21	454
2098.64	443
2099.08	427
2099.51	448
2099.94	467
2100.38	456
2100.81	416
2101.25	436
2101.68	454
2102.11	472
2102.55	498
2102.98	535
2103.42	541
2103.85	564
2104.28	601
2104.72	595
2105.15	587
2105.59	552
2106.02	543
2106.45	491
2106.89	488
2107.32	495
2107.76	488
2108.19	499
2108.63	520
2109.06	517
2109.5	524
2109.93	489
2110.36	476
2110.8	504
2111.23	474
2111.67	460
2112.1	491
2112.54	520
2112.97	454
2113.41	416
2113.84	435
2114.28	448
2114.71	436
2115.15	463
2115.58	517
