"SPEC#: 1, SIZE: 18429, TIME: 0.000000"	
1999.7	585
2000.13	607
2000.55	606
2000.97	576
2001.4	548
2001.82	560
2002.24	554
2002.67	568
2003.09	535
2003.51	519
2003.94	553
2004.36	551
2004.78	566
2005.21	625
2005.63	628
2006.05	579
2006.48	601
2006.9	600
2007.33	598
2007.75	620
2008.17	587
2008.6	568
2009.02	571
2009.45	598
2009.87	638
2010.3	605
2010.72	615
2011.14	610
2011.57	639
2011.99	709
2012.42	757
2012.84	787
2013.27	847
2013.69	883
2014.12	883
2014.54	858
2014.96	831
2015.39	782
2015.81	733
2016.24	690
2016.66	647
2017.09	657
2017.51	671
2017.94	676
2018.36	643
2018.79	684
2019.21	766
2019.64	781
2020.06	743
2020.49	741
2020.92	737
2021.34	684
2021.77	597
2022.19	590
2022.62	578
2023.04	576
2023.47	616
2023.89	634
2024.32	695
2024.75	709
2025.17	735
2025.6	830
2026.02	997
2026.45	1178
2026.88	1172
2027.3	1225
2027.73	1270
2028.15	1287
2028.58	1347
2029.01	1623
2029.43	1781
2029.86	1700
2030.28	1665
2030.71	1530
2031.14	1365
2031.56	1229
2031.99	1038
2032.42	954
2032.84	937
2033.27	1007
2033.7	942
2034.12	947
2034.55	930
2034.98	818
2035.4	733
2035.83	713
2036.26	659
2036.69	642
2037.11	691
2037.54	717
2037.97	712
2038.39	705
2038.82	691
2039.25	740
2039.68	743
2040.1	758
2040.53	772
2040.96	762
2041.39	738
2041.81	723
2042.24	732
2042.67	751
2043.1	751
2043.52	795
2043.95	798
2044.38	839
2044.81	912
2045.23	1058
2045.66	1102
2046.09	1026
2046.52	939
2046.95	887
2047.38	861
2047.8	766
2048.23	764
2048.66	705
2049.09	684
2049.52	742
2049.94	790
2050.37	828
2050.8	869
2051.23	860
2051.66	815
2052.09	811
2052.52	848
2052.94	787
2053.37	754
2053.8	710
2054.23	700
2054.66	700
2055.09	661
2055.52	655
2055.95	633
2056.38	634
2056.81	638
2057.23	657
2057.66	665
2058.09	641
2058.52	615
2058.95	635
