"SPEC#: 1, SIZE: 18429, TIME: 0.000000"	
1999.7	756
2000.13	789
2000.55	843
2000.97	829
2001.4	775
2001.82	746
2002.24	779
2002.67	779
2003.09	750
2003.51	732
2003.94	720
2004.36	781
2004.78	734
2005.21	722
2005.63	719
2006.05	730
2006.48	712
2006.9	749
2007.33	807
2007.75	787
2008.17	773
2008.6	747
2009.02	740
2009.45	745
2009.87	733
2010.3	761
2010.72	787
2011.14	803
2011.57	736
2011.99	721
2012.42	743
2012.84	753
2013.27	772
2013.69	723
2014.12	751
2014.54	763
2014.96	751
2015.39	827
2015.81	821
2016.24	776
2016.66	729
2017.09	725
2017.51	774
2017.94	792
2018.36	773
2018.79	748
2019.21	779
2019.64	816
2020.06	775
2020.49	779
2020.92	717
2021.34	707
2021.77	756
2022.19	785
2022.62	739
2023.04	719
2023.47	739
2023.89	789
2024.32	771
2024.75	715
2025.17	744
2025.6	728
2026.02	673
2026.45	734
2026.88	773
2027.3	741
2027.73	710
2028.15	700
2028.58	675
2029.01	708
2029.43	719
2029.86	730
2030.28	751
2030.71	755
2031.14	751
2031.56	712
2031.99	688
2032.42	720
2032.84	750
2033.27	728
2033.7	763
2034.12	765
2034.55	786
2034.98	756
2035.4	787
2035.83	816
2036.26	837
2036.69	816
2037.11	822
2037.54	786
2037.97	798
2038.39	775
2038.82	750
2039.25	728
2039.68	754
2040.1	778
2040.53	752
2040.96	745
2041.39	816
2041.81	842
2042.24	841
2042.67	810
2043.1	780
2043.52	871
2043.95	872
2044.38	876
2044.81	857
2045.23	812
2045.66	809
2046.09	815
2046.52	791
2046.95	776
2047.38	761
2047.8	740
2048.23	766
2048.66	801
2049.09	804
2049.52	834
2049.94	780
2050.37	740
2050.8	751
2051.23	798
2051.66	819
2052.09	813
2052.52	808
2052.94	759
2053.37	756
2053.8	719
2054.23	736
2054.66	734
2055.09	751
2055.52	777
2055.95	836
2056.38	866
2056.81	893
2057.23	891
2057.66	865
2058.09	918
2058.52	941
2058.95	862
2059.38	826
2059.81	850
2060.24	882
2060.67	834
2061.1	823
2061.53	863
2061.96	807
2062.39	755
2062.82	826
2063.25	829
2063.68	824
2064.11	816
2064.54	831
2064.97	806
2065.4	822
2065.83	812
2066.26	816
2066.69	800
2067.12	773
2067.55	815
2067.98	950
2068.41	975
2068.84	952
2069.27	963
2069.7	918
2070.13	945
2070.56	1017
2070.99	1024
2071.42	950
2071.85	902
2072.28	891
2072.71	917
2073.15	903
2073.58	881
2074.01	931
2074.44	891
2074.87	923
2075.3	924
2075.73	866
2076.16	895
2076.59	927
2077.02	908
2077.46	879
2077.89	827
2078.32	803
2078.75	815
2079.18	837
2079.61	806
2080.04	793
2080.48	776
2080.91	782
2081.34	772
2081.77	777
2082.2	771
2082.64	778
2083.07	831
2083.5	827
2083.93	824
2084.36	805
2084.79	840
2085.23	848
2085.66	805
2086.09	853
2086.52	879
2086.96	869
2087.39	850
2087.82	858
2088.25	876
2088.69	906
2089.12	965
2089.55	1097
2089.98	1151
2090.42	1142
2090.85	1172
2091.28	1161
2091.71	1083
2092.15	1005
2092.58	940
2093.01	855
2093.45	803
2093.88	824
2094.31	825
2094.74	838
2095.18	800
2095.61	793
2096.04	761
2096.48	787
2096.91	779
2097.34	761
2097.78	759
2098.21	752
2098.64	775
2099.08	769
2099.51	827
2099.94	836
2100.38	823
2100.81	872
2101.25	862
2101.68	869
2102.11	868
2102.55	819
2102.98	805
2103.42	890
2103.85	950
2104.28	1034
2104.72	1159
2105.15	1129
2105.59	1064
2106.02	1053
2106.45	921
2106.89	792
2107.32	800
2107.76	808
2108.19	798
2108.63	840
2109.06	860
2109.5	868
2109.93	866
2110.36	798
2110.8	798
2111.23	811
2111.67	817
2112.1	843
2112.54	783
2112.97	752
2113.41	796
2113.84	859
2114.28	860
2114.71	798
2115.15	799
2115.58	858
2116.02	837
2116.46	824
2116.89	796
2117.33	792
2117.76	795
2118.2	756
2118.63	761
2119.07	777
2119.5	781
2119.94	787
2120.38	773
2120.81	739
2121.25	733
2121.68	746
2122.12	787
2122.55	862
2122.99	826
2123.43	786
2123.86	816
2124.3	878
2124.73	846
2125.17	809
2125.61	832
2126.04	836
2126.48	804
2126.92	786
2127.35	797
2127.79	799
2128.23	814
2128.66	755
2129.1	763
2129.54	795
2129.97	788
2130.41	800
2130.85	802
2131.28	764
2131.72	729
2132.16	812
2132.59	858
2133.03	871
2133.47	838
2133.9	849
2134.34	856
2134.78	832
2135.22	810
2135.65	815
2136.09	891
2136.53	920
2136.97	824
2137.4	813
2137.84	849
2138.28	804
2138.72	776
2139.15	771
2139.59	745
2140.03	837
2140.47	856
2140.9	816
2141.34	804
2141.78	798
2142.22	832
2142.66	850
2143.09	768
2143.53	789
2143.97	775
2144.41	776
2144.85	746
2145.29	774
2145.72	786
2146.16	807
2146.6	795
2147.04	766
2147.48	806
2147.92	815
2148.36	828
2148.79	837
2149.23	815
2149.67	828
2150.11	785
2150.55	794
2150.99	780
2151.43	756
2151.87	803
2152.3	750
2152.74	740
2153.18	758
2153.62	739
2154.06	784
2154.5	827
2154.94	829
2155.38	795
2155.82	803
2156.26	796
2156.7	747
2157.14	747
2157.58	724
2158.02	747
2158.46	794
2158.89	785
2159.33	717
2159.77	752
2160.21	757
2160.65	762
2161.09	807
2161.53	864
2161.97	867
2162.41	782
2162.85	799
2163.29	775
2163.73	717
2164.17	769
2164.61	839
2165.06	814
2165.5	742
2165.94	732
2166.38	740
2166.82	739
2167.26	802
2167.7	835
2168.14	805
2168.58	812
2169.02	807
2169.46	776
2169.9	781
2170.34	797
2170.78	768
2171.22	778
2171.67	881
2172.11	914
2172.55	883
2172.99	883
2173.43	815
2173.87	693
2174.31	716
2174.75	759
2175.19	790
2175.64	775
2176.08	695
2176.52	747
2176.96	794
2177.4	810
2177.84	820
2178.29	845
2178.73	837
2179.17	824
2179.61	767
2180.05	707
2180.49	707
2180.94	828
2181.38	825
2181.82	836
2182.26	855
2182.7	827
2183.15	782
2183.59	786
2184.03	813
2184.47	890
2184.92	905
2185.36	900
2185.8	923
2186.24	900
2186.69	878
2187.13	897
2187.57	911
2188.01	873
2188.46	865
2188.9	870
2189.34	909
2189.78	882
2190.23	823
2190.67	797
2191.11	817
2191.56	784
2192	796
2192.44	795
2192.89	817
2193.33	797
2193.77	742
2194.21	779
2194.66	768
2195.1	776
2195.54	765
2195.99	727
2196.43	714
2196.88	711
2197.32	703
2197.76	751
2198.21	762
2198.65	748
2199.09	769
2199.54	773
2199.98	769
2200.43	770
2200.87	786
2201.31	835
2201.76	797
2202.2	768
2202.65	819
2203.09	851
2203.53	858
2203.98	824
2204.42	853
2204.87	810
2205.31	757
2205.76	752
2206.2	773
2206.64	733
2207.09	733
2207.53	763
2207.98	824
2208.42	853
2208.87	811
2209.31	809
2209.76	818
2210.2	811
2210.65	801
2211.09	783
2211.54	837
2211.98	778
2212.43	729
2212.87	754
2213.32	808
2213.76	839
2214.21	791
2214.65	763
2215.1	727
2215.54	782
2215.99	820
2216.44	806
2216.88	791
2217.33	792
2217.77	794
2218.22	786
2218.66	769
2219.11	831
2219.56	830
2220	804
2220.45	759
2220.89	820
2221.34	822
2221.79	789
2222.23	790
2222.68	791
2223.12	853
2223.57	842
2224.02	804
2224.46	811
2224.91	807
2225.36	865
2225.8	937
2226.25	944
2226.69	946
2227.14	926
2227.59	919
2228.03	902
2228.48	870
2228.93	836
2229.38	856
2229.82	848
2230.27	837
2230.72	810
2231.16	795
2231.61	773
2232.06	814
2232.5	824
2232.95	788
2233.4	777
2233.85	768
2234.29	746
2234.74	803
2235.19	888
2235.64	870
2236.08	817
2236.53	789
2236.98	811
2237.43	824
2237.87	817
2238.32	756
2238.77	718
2239.22	718
2239.66	723
2240.11	742
2240.56	811
2241.01	889
2241.46	883
2241.9	811
2242.35	785
2242.8	846
2243.25	827
2243.7	782
2244.15	792
2244.59	807
2245.04	823
2245.49	806
2245.94	773
2246.39	800
2246.84	802
2247.28	901
2247.73	913
2248.18	875
2248.63	789
2249.08	820
2249.53	882
2249.98	847
2250.43	830
2250.88	819
2251.32	810
2251.77	843
2252.22	841
2252.67	787
2253.12	749
2253.57	775
2254.02	795
2254.47	803
2254.92	823
2255.37	845
2255.82	863
2256.27	897
2256.72	886
2257.17	828
2257.62	877
2258.06	917
2258.51	915
2258.96	898
2259.41	921
2259.86	949
2260.31	856
2260.76	844
2261.21	848
2261.66	819
2262.11	882
2262.56	899
2263.01	878
2263.46	916
2263.92	912
2264.37	841
2264.82	823
2265.27	825
2265.72	761
2266.17	754
2266.62	763
2267.07	785
2267.52	768
2267.97	709
2268.42	727
2268.87	791
2269.32	782
2269.77	835
2270.22	878
2270.67	819
2271.13	795
2271.58	785
2272.03	794
2272.48	835
2272.93	821
2273.38	847
2273.83	896
2274.28	861
2274.74	844
2275.19	838
2275.64	867
2276.09	820
2276.54	804
2276.99	852
2277.44	903
2277.9	868
2278.35	848
2278.8	897
2279.25	870
2279.7	855
2280.16	859
2280.61	871
2281.06	834
2281.51	842
2281.96	835
2282.42	825
2282.87	794
2283.32	830
2283.77	825
2284.22	832
2284.68	842
2285.13	829
2285.58	847
2286.03	813
2286.49	780
2286.94	735
2287.39	808
2287.84	868
2288.3	848
2288.75	821
2289.2	768
2289.66	734
2290.11	752
2290.56	748
2291.01	789
2291.47	812
2291.92	741
2292.37	791
2292.83	769
2293.28	780
2293.73	848
2294.19	898
2294.64	861
2295.09	896
2295.55	896
2296	922
2296.45	921
2296.91	849
2297.36	829
2297.81	866
2298.27	842
2298.72	820
2299.18	883
2299.63	835
2300.08	813
2300.54	817
2300.99	813
2301.44	858
2301.9	851
2302.35	855
2302.81	867
2303.26	859
2303.72	858
2304.17	824
2304.62	786
2305.08	758
2305.53	748
2305.99	749
2306.44	788
2306.9	808
2307.35	790
2307.81	773
2308.26	768
2308.72	854
2309.17	873
2309.62	835
2310.08	804
2310.53	784
2310.99	799
2311.44	797
2311.9	809
2312.35	849
2312.81	894
2313.26	937
2313.72	860
2314.18	766
2314.63	762
2315.09	882
2315.54	999
2316	1107
2316.45	1140
2316.91	1135
2317.36	1162
2317.82	1097
2318.27	1086
2318.73	1020
2319.19	1005
2319.64	966
2320.1	920
2320.55	976
2321.01	961
2321.47	860
2321.92	828
2322.38	886
2322.83	892
2323.29	830
2323.75	822
2324.2	829
2324.66	895
2325.12	892
2325.57	870
2326.03	827
2326.48	843
2326.94	867
2327.4	911
2327.85	893
2328.31	854
2328.77	816
2329.22	812
2329.68	851
2330.14	853
2330.59	839
2331.05	862
2331.51	888
2331.97	926
2332.42	950
2332.88	988
2333.34	1033
2333.79	1091
2334.25	1118
2334.71	1124
2335.17	1014
2335.62	912
2336.08	841
2336.54	833
2337	817
2337.45	824
2337.91	823
2338.37	845
2338.83	812
2339.28	853
2339.74	866
2340.2	856
2340.66	781
2341.12	828
2341.57	863
2342.03	845
2342.49	838
2342.95	826
2343.41	841
2343.86	866
2344.32	857
2344.78	854
2345.24	878
2345.7	878
2346.16	884
2346.61	896
2347.07	865
2347.53	883
2347.99	875
2348.45	832
2348.91	801
2349.37	808
2349.82	819
2350.28	805
2350.74	813
2351.2	837
2351.66	849
2352.12	859
2352.58	814
2353.04	756
2353.5	780
2353.96	807
2354.41	791
2354.87	799
2355.33	828
2355.79	871
2356.25	827
2356.71	815
2357.17	851
2357.63	833
2358.09	823
2358.55	785
2359.01	771
2359.47	773
2359.93	809
2360.39	833
2360.85	877
2361.31	866
2361.77	804
2362.23	794
2362.69	845
2363.15	871
2363.61	875
2364.07	855
2364.53	842
2364.99	808
2365.45	782
2365.91	727
2366.37	751
2366.83	770
2367.29	807
2367.75	824
2368.21	832
2368.67	821
2369.13	811
2369.59	798
2370.05	800
2370.52	816
2370.98	826
2371.44	849
2371.9	845
2372.36	845
2372.82	852
2373.28	799
2373.74	833
2374.2	901
2374.66	903
2375.13	883
2375.59	880
2376.05	860
2376.51	832
2376.97	856
2377.43	808
2377.89	743
2378.36	750
2378.82	779
2379.28	780
2379.74	816
2380.2	863
2380.66	819
2381.13	769
2381.59	764
2382.05	820
2382.51	843
2382.97	811
2383.44	852
2383.9	878
2384.36	871
2384.82	877
2385.28	864
2385.75	892
2386.21	995
2386.67	960
2387.13	894
2387.6	932
2388.06	964
2388.52	1068
2388.98	1145
2389.45	1183
2389.91	1208
2390.37	1232
2390.83	1264
2391.3	1246
2391.76	1144
2392.22	1080
2392.69	1043
2393.15	965
2393.61	938
2394.08	924
2394.54	999
2395	1097
2395.47	1148
2395.93	1185
2396.39	1184
2396.86	1191
2397.32	1201
2397.78	1119
2398.25	1011
2398.71	994
2399.17	979
2399.64	1042
2400.1	1042
2400.56	1063
2401.03	1085
2401.49	1152
2401.95	1223
2402.42	1208
2402.88	1179
2403.35	1162
2403.81	1122
2404.27	1088
2404.74	1116
2405.2	1060
2405.67	967
2406.13	979
2406.6	1016
2407.06	1020
2407.52	1020
2407.99	998
2408.45	1022
2408.92	1067
2409.38	1144
2409.85	1226
2410.31	1157
2410.78	1081
2411.24	1110
2411.71	1120
2412.17	1063
2412.64	1023
2413.1	1064
2413.57	1152
2414.03	1163
2414.5	1167
2414.96	1162
2415.43	1261
2415.89	1376
2416.36	1605
2416.82	2130
2417.29	2686
2417.75	3084
2418.22	3356
2418.68	3432
2419.15	3085
2419.61	2656
2420.08	2289
2420.55	1952
2421.01	1603
2421.48	1406
2421.94	1317
2422.41	1268
2422.87	1196
2423.34	1155
2423.81	1052
2424.27	1146
2424.74	1254
2425.2	1256
2425.67	1167
2426.14	1060
2426.6	1010
2427.07	1071
2427.54	1140
2428	1163
2428.47	1113
2428.93	1124
2429.4	1218
2429.87	1243
2430.33	1230
2430.8	1158
2431.27	1059
2431.73	1026
2432.2	1081
2432.67	1103
2433.14	1029
2433.6	1053
2434.07	1069
2434.54	1085
2435	1090
2435.47	1121
2435.94	1059
2436.4	1033
2436.87	1061
2437.34	1043
2437.81	987
2438.27	943
2438.74	933
2439.21	925
2439.68	900
2440.14	908
2440.61	904
2441.08	915
2441.55	918
2442.01	918
2442.48	906
2442.95	869
2443.42	826
2443.89	877
2444.35	884
2444.82	874
2445.29	893
2445.76	918
2446.23	936
2446.69	952
2447.16	956
2447.63	980
2448.1	951
2448.57	875
2449.03	893
2449.5	898
2449.97	895
2450.44	879
2450.91	862
2451.38	873
2451.85	915
2452.31	900
2452.78	863
2453.25	846
2453.72	864
2454.19	895
2454.66	969
2455.13	908
2455.6	837
2456.07	848
2456.54	941
2457	961
2457.47	889
2457.94	834
2458.41	858
2458.88	926
2459.35	986
2459.82	988
2460.29	921
2460.76	843
2461.23	834
2461.7	845
2462.17	868
2462.64	922
2463.11	875
2463.58	822
2464.05	867
2464.52	950
2464.99	1035
2465.46	1043
2465.93	1017
2466.4	1010
2466.87	957
2467.34	895
2467.81	863
2468.28	826
2468.75	861
2469.22	905
2469.69	871
2470.16	830
2470.63	853
2471.1	897
2471.57	901
2472.04	953
2472.51	980
2472.98	1005
2473.45	1085
2473.92	1211
2474.39	1255
2474.87	1242
2475.34	1199
2475.81	1079
2476.28	984
2476.75	895
2477.22	850
2477.69	805
2478.16	790
2478.63	811
2479.11	826
2479.58	858
2480.05	838
2480.52	848
2480.99	891
2481.46	936
2481.93	1019
2482.41	1054
2482.88	974
2483.35	932
2483.82	923
2484.29	980
2484.76	939
2485.24	864
2485.71	886
2486.18	896
2486.65	893
2487.12	879
2487.6	869
2488.07	888
2488.54	876
2489.01	841
2489.48	826
2489.96	814
2490.43	831
2490.9	875
2491.37	861
2491.85	857
2492.32	879
2492.79	905
2493.26	871
2493.74	827
2494.21	822
2494.68	805
2495.15	777
2495.63	779
2496.1	759
2496.57	802
2497.05	825
2497.52	832
2497.99	805
2498.47	869
2498.94	863
2499.41	858
2499.89	835
2500.36	818
2500.83	865
2501.31	890
2501.78	879
2502.25	875
2502.73	874
2503.2	853
2503.67	798
2504.15	815
2504.62	822
2505.09	758
2505.57	778
2506.04	830
2506.52	832
2506.99	827
2507.46	823
2507.94	802
2508.41	769
2508.89	781
2509.36	756
2509.83	739
2510.31	778
2510.78	844
2511.26	881
2511.73	888
2512.21	827
2512.68	812
2513.15	834
2513.63	832
2514.1	832
2514.58	853
2515.05	863
2515.53	868
2516	863
2516.48	824
2516.95	807
2517.43	798
2517.9	875
2518.38	906
2518.85	902
2519.33	895
2519.8	905
2520.28	915
2520.75	933
2521.23	974
2521.7	974
2522.18	966
2522.65	951
2523.13	909
2523.6	897
2524.08	952
2524.56	1002
2525.03	962
2525.51	967
2525.98	995
2526.46	1018
2526.93	1000
2527.41	989
2527.89	1005
2528.36	982
2528.84	970
2529.31	973
2529.79	962
2530.27	948
2530.74	986
2531.22	969
2531.69	964
2532.17	999
2532.65	948
2533.12	932
2533.6	964
2534.08	994
2534.55	962
2535.03	955
2535.51	953
2535.98	986
2536.46	977
2536.94	905
2537.41	961
2537.89	1048
2538.37	1055
2538.84	1102
2539.32	1158
2539.8	1216
2540.27	1244
2540.75	1205
2541.23	1140
2541.71	1094
2542.18	1100
2542.66	1113
2543.14	1102
2543.62	1038
2544.09	1063
2544.57	1115
2545.05	1111
2545.53	1138
2546	1167
2546.48	1169
2546.96	1264
2547.44	1454
2547.91	1689
2548.39	2045
2548.87	2572
2549.35	3100
2549.83	3501
2550.3	3803
2550.78	3628
2551.26	3040
2551.74	2520
2552.22	2076
2552.69	1614
2553.17	1343
2553.65	1236
2554.13	1189
2554.61	1159
2555.09	1186
2555.56	1206
2556.04	1146
2556.52	1082
2557	1086
2557.48	1105
2557.96	1126
2558.44	1160
2558.92	1147
2559.39	1087
2559.87	1096
2560.35	1097
2560.83	1145
2561.31	1206
2561.79	1251
2562.27	1190
2562.75	1131
2563.23	1133
2563.71	1198
2564.19	1191
2564.66	1119
2565.14	1060
2565.62	1003
2566.1	1025
2566.58	1002
2567.06	977
2567.54	1041
2568.02	1068
2568.5	1037
2568.98	1000
2569.46	1001
2569.94	991
2570.42	1003
2570.9	979
2571.38	961
2571.86	937
2572.34	917
2572.82	903
2573.3	907
2573.78	877
2574.26	881
2574.74	871
2575.22	897
2575.7	900
2576.18	885
2576.66	859
2577.14	812
2577.62	825
2578.1	868
