"SPEC#: 1, SIZE: 18429, TIME: 0.000000"	
1999.7	680
2000.13	647
2000.55	663
2000.97	717
2001.4	745
2001.82	754
2002.24	745
2002.67	754
2003.09	787
2003.51	793
2003.94	831
2004.36	823
2004.78	842
2005.21	858
2005.63	883
2006.05	828
2006.48	783
2006.9	759
2007.33	779
2007.75	790
2008.17	828
2008.6	782
2009.02	713
2009.45	658
2009.87	686
2010.3	701
2010.72	720
2011.14	755
2011.57	797
2011.99	784
2012.42	793
2012.84	763
2013.27	704
2013.69	727
2014.12	728
2014.54	743
2014.96	765
2015.39	737
2015.81	749
2016.24	779
2016.66	768
2017.09	775
2017.51	707
2017.94	732
2018.36	751
2018.79	727
2019.21	736
2019.64	755
2020.06	742
2020.49	775
2020.92	814
2021.34	805
2021.77	750
2022.19	759
2022.62	770
2023.04	766
2023.47	773
2023.89	716
2024.32	723
2024.75	744
2025.17	757
2025.6	756
2026.02	741
2026.45	725
2026.88	774
2027.3	818
2027.73	783
2028.15	749
2028.58	769
2029.01	747
2029.43	730
2029.86	735
2030.28	740
2030.71	712
2031.14	726
2031.56	755
2031.99	739
2032.42	732
2032.84	782
2033.27	759
2033.7	746
2034.12	751
2034.55	816
2034.98	821
2035.4	818
2035.83	766
2036.26	732
2036.69	761
2037.11	763
2037.54	743
2037.97	761
2038.39	741
2038.82	714
2039.25	748
2039.68	741
2040.1	697
2040.53	736
2040.96	783
2041.39	766
2041.81	742
2042.24	705
2042.67	696
2043.1	704
2043.52	755
2043.95	767
2044.38	762
2044.81	780
2045.23	832
2045.66	813
2046.09	743
2046.52	723
2046.95	713
2047.38	770
2047.8	758
2048.23	780
2048.66	739
2049.09	701
2049.52	717
2049.94	807
2050.37	816
2050.8	794
2051.23	809
2051.66	744
2052.09	699
2052.52	709
2052.94	719
2053.37	722
2053.8	743
2054.23	725
2054.66	756
2055.09	815
2055.52	790
2055.95	782
2056.38	755
2056.81	705
2057.23	714
2057.66	737
2058.09	715
2058.52	758
2058.95	754
2059.38	772
2059.81	763
2060.24	705
2060.67	693
2061.1	729
2061.53	812
2061.96	763
2062.39	733
2062.82	718
2063.25	713
2063.68	721
2064.11	734
2064.54	783
2064.97	784
2065.4	777
2065.83	775
2066.26	725
2066.69	773
2067.12	759
2067.55	819
2067.98	797
2068.41	747
2068.84	726
2069.27	744
2069.7	792
2070.13	790
2070.56	797
2070.99	791
2071.42	784
2071.85	736
2072.28	739
2072.71	751
2073.15	742
2073.58	788
2074.01	858
2074.44	849
2074.87	801
2075.3	778
2075.73	773
2076.16	794
2076.59	816
2077.02	825
2077.46	811
2077.89	766
2078.32	755
2078.75	792
2079.18	753
2079.61	812
2080.04	796
2080.48	797
2080.91	784
2081.34	722
2081.77	691
2082.2	706
2082.64	769
2083.07	779
2083.5	769
2083.93	737
2084.36	739
2084.79	780
2085.23	736
2085.66	768
2086.09	818
2086.52	772
2086.96	704
2087.39	711
2087.82	757
2088.25	768
2088.69	776
2089.12	785
2089.55	747
2089.98	746
2090.42	769
2090.85	816
2091.28	755
2091.71	769
2092.15	828
2092.58	797
2093.01	781
2093.45	778
2093.88	747
2094.31	726
2094.74	737
2095.18	749
2095.61	726
2096.04	741
2096.48	743
2096.91	758
2097.34	723
2097.78	719
2098.21	760
2098.64	763
2099.08	769
2099.51	717
2099.94	693
2100.38	751
2100.81	796
2101.25	788
2101.68	816
2102.11	798
2102.55	759
2102.98	790
2103.42	805
2103.85	747
2104.28	758
2104.72	696
2105.15	712
2105.59	700
2106.02	702
2106.45	739
2106.89	778
2107.32	750
2107.76	710
2108.19	683
2108.63	717
2109.06	771
2109.5	781
2109.93	747
2110.36	723
2110.8	704
2111.23	694
2111.67	699
2112.1	751
2112.54	818
2112.97	827
2113.41	733
2113.84	702
2114.28	700
2114.71	719
2115.15	755
2115.58	740
2116.02	790
2116.46	786
2116.89	780
2117.33	763
2117.76	753
2118.2	757
2118.63	771
2119.07	770
2119.5	734
2119.94	732
2120.38	713
2120.81	703
2121.25	742
2121.68	758
2122.12	786
2122.55	819
2122.99	812
2123.43	791
2123.86	789
2124.3	775
2124.73	732
2125.17	736
2125.61	783
2126.04	759
2126.48	738
2126.92	716
2127.35	718
2127.79	741
2128.23	788
2128.66	800
2129.1	776
2129.54	748
2129.97	797
2130.41	811
2130.85	762
2131.28	684
2131.72	693
2132.16	680
2132.59	712
2133.03	727
2133.47	746
2133.9	819
2134.34	819
2134.78	783
2135.22	805
2135.65	805
2136.09	785
2136.53	755
2136.97	798
2137.4	795
2137.84	759
2138.28	707
2138.72	685
2139.15	681
2139.59	749
2140.03	849
2140.47	858
2140.9	869
2141.34	842
2141.78	819
2142.22	791
2142.66	761
2143.09	749
2143.53	712
2143.97	709
2144.41	722
2144.85	776
2145.29	829
2145.72	825
2146.16	789
2146.6	766
2147.04	800
2147.48	816
2147.92	906
2148.36	1108
2148.79	1315
2149.23	1512
2149.67	1713
2150.11	1716
2150.55	1518
2150.99	1288
2151.43	1198
2151.87	1160
2152.3	1085
2152.74	938
2153.18	872
2153.62	841
2154.06	798
2154.5	853
2154.94	894
2155.38	909
2155.82	901
2156.26	810
2156.7	782
2157.14	821
2157.58	786
2158.02	789
2158.46	806
2158.89	795
2159.33	842
2159.77	824
2160.21	804
2160.65	822
2161.09	856
2161.53	858
2161.97	886
2162.41	884
2162.85	876
2163.29	849
2163.73	833
2164.17	829
2164.61	790
2165.06	758
2165.5	790
2165.94	815
2166.38	824
2166.82	835
2167.26	856
2167.7	825
2168.14	821
2168.58	855
2169.02	850
2169.46	869
2169.9	896
2170.34	811
2170.78	823
2171.22	891
2171.67	828
2172.11	766
2172.55	801
2172.99	755
2173.43	776
2173.87	819
2174.31	842
2174.75	783
2175.19	788
2175.64	763
2176.08	746
2176.52	762
2176.96	756
2177.4	797
2177.84	835
2178.29	802
2178.73	810
2179.17	781
2179.61	844
2180.05	834
2180.49	861
2180.94	889
2181.38	928
2181.82	915
2182.26	824
2182.7	814
2183.15	883
2183.59	851
2184.03	786
2184.47	795
2184.92	794
2185.36	817
