"SPEC#: 1, SIZE: 18429, TIME: 0.000000"	
1999.7	459
2000.13	431
2000.55	430
2000.97	477
2001.4	436
2001.82	434
2002.24	437
2002.67	418
2003.09	421
2003.51	403
2003.94	375
2004.36	380
2004.78	407
2005.21	405
2005.63	387
2006.05	373
2006.48	348
2006.9	361
2007.33	372
2007.75	368
2008.17	394
2008.6	384
2009.02	384
2009.45	372
2009.87	350
2010.3	329
2010.72	355
2011.14	386
2011.57	363
2011.99	324
2012.42	358
2012.84	371
2013.27	381
2013.69	411
2014.12	392
2014.54	421
2014.96	400
2015.39	389
2015.81	407
2016.24	377
2016.66	383
2017.09	400
2017.51	414
2017.94	400
2018.36	366
2018.79	379
2019.21	374
2019.64	384
2020.06	376
2020.49	370
2020.92	373
2021.34	367
2021.77	385
2022.19	422
2022.62	408
2023.04	384
2023.47	387
2023.89	401
2024.32	411
2024.75	380
2025.17	371
2025.6	383
2026.02	396
2026.45	394
2026.88	417
2027.3	401
2027.73	365
2028.15	375
2028.58	341
2029.01	369
2029.43	408
2029.86	392
2030.28	364
2030.71	387
2031.14	429
2031.56	417
2031.99	411
2032.42	354
2032.84	350
2033.27	378
2033.7	363
2034.12	338
2034.55	351
2034.98	386
2035.4	399
2035.83	389
2036.26	432
2036.69	394
2037.11	367
2037.54	385
2037.97	444
2038.39	449
2038.82	396
2039.25	387
2039.68	380
2040.1	383
2040.53	411
2040.96	454
2041.39	467
2041.81	423
2042.24	444
2042.67	421
2043.1	395
2043.52	420
2043.95	425
2044.38	428
2044.81	424
2045.23	424
2045.66	457
2046.09	406
2046.52	380
2046.95	425
2047.38	449
2047.8	433
2048.23	423
2048.66	375
2049.09	346
2049.52	350
2049.94	356
2050.37	386
2050.8	421
2051.23	423
2051.66	409
2052.09	440
2052.52	468
2052.94	450
2053.37	433
2053.8	429
2054.23	418
2054.66	398
2055.09	379
2055.52	395
2055.95	403
2056.38	441
2056.81	485
2057.23	619
2057.66	677
2058.09	660
2058.52	596
2058.95	546
2059.38	470
2059.81	423
2060.24	449
2060.67	478
2061.1	465
2061.53	431
2061.96	422
2062.39	416
2062.82	396
2063.25	383
2063.68	355
2064.11	371
2064.54	411
2064.97	413
2065.4	455
2065.83	499
2066.26	492
2066.69	464
2067.12	415
2067.55	376
2067.98	364
2068.41	388
2068.84	422
2069.27	438
2069.7	438
2070.13	498
2070.56	488
2070.99	451
2071.42	454
2071.85	456
2072.28	462
2072.71	462
2073.15	431
2073.58	447
2074.01	417
2074.44	425
2074.87	392
2075.3	398
2075.73	449
2076.16	478
2076.59	461
2077.02	504
2077.46	511
2077.89	490
2078.32	471
2078.75	456
2079.18	427
2079.61	415
2080.04	394
2080.48	394
2080.91	423
2081.34	414
2081.77	428
2082.2	426
2082.64	413
2083.07	429
2083.5	424
2083.93	407
2084.36	416
2084.79	390
2085.23	394
2085.66	434
2086.09	418
2086.52	380
2086.96	384
2087.39	419
2087.82	470
2088.25	431
