"SPEC#: 1, SIZE: 18429, TIME: 0.000000"	
1999.7	1914
2000.13	1985
2000.55	1870
2000.97	1884
2001.4	1904
2001.82	1895
2002.24	1923
2002.67	1926
2003.09	1917
2003.51	1851
2003.94	1773
2004.36	1797
2004.78	1895
2005.21	1909
2005.63	1876
2006.05	1856
2006.48	1823
2006.9	1862
2007.33	1871
2007.75	1845
2008.17	1870
2008.6	1860
2009.02	1881
2009.45	1862
2009.87	1896
2010.3	1805
2010.72	1752
2011.14	1856
2011.57	1879
2011.99	1913
2012.42	1878
2012.84	1934
2013.27	1941
2013.69	1891
2014.12	1893
2014.54	1885
2014.96	1885
2015.39	1831
2015.81	1828
2016.24	1850
2016.66	1859
2017.09	1797
2017.51	1703
2017.94	1756
2018.36	1738
2018.79	1732
2019.21	1768
2019.64	1826
2020.06	1867
2020.49	1852
2020.92	1893
2021.34	1922
2021.77	1875
2022.19	1877
2022.62	1884
2023.04	1939
2023.47	1926
2023.89	1840
2024.32	1784
2024.75	1790
2025.17	1852
2025.6	1839
2026.02	1866
2026.45	1833
2026.88	1839
2027.3	1933
2027.73	1976
2028.15	1892
2028.58	1821
2029.01	1805
2029.43	1772
2029.86	1774
2030.28	1897
2030.71	1957
2031.14	1924
2031.56	1925
2031.99	1904
2032.42	1884
2032.84	1902
2033.27	1932
2033.7	1897
2034.12	1839
2034.55	1800
2034.98	1836
2035.4	1911
2035.83	1931
2036.26	1899
2036.69	1851
2037.11	1819
2037.54	1819
2037.97	1854
2038.39	1933
2038.82	1951
2039.25	1919
2039.68	1869
2040.1	1816
2040.53	1800
2040.96	1826
2041.39	1840
2041.81	1790
2042.24	1809
2042.67	1779
2043.1	1785
2043.52	1871
2043.95	1900
2044.38	1831
2044.81	1819
2045.23	1848
2045.66	1843
2046.09	1796
2046.52	1791
2046.95	1831
2047.38	1805
2047.8	1803
2048.23	1796
2048.66	1862
2049.09	1921
2049.52	1905
2049.94	1832
2050.37	1750
2050.8	1767
2051.23	1898
2051.66	1974
2052.09	1900
2052.52	1797
2052.94	1857
2053.37	1954
2053.8	1954
2054.23	1892
2054.66	1795
2055.09	1785
2055.52	1791
2055.95	1801
2056.38	1821
2056.81	1832
2057.23	1817
2057.66	1799
2058.09	1838
2058.52	1872
2058.95	1857
2059.38	1896
2059.81	1875
2060.24	1822
2060.67	1916
2061.1	1934
2061.53	1892
2061.96	1842
2062.39	1862
2062.82	1891
2063.25	1877
2063.68	1875
2064.11	1835
2064.54	1741
2064.97	1755
2065.4	1760
2065.83	1814
2066.26	1821
2066.69	1796
2067.12	1780
2067.55	1793
2067.98	1783
2068.41	1808
2068.84	1860
2069.27	1839
2069.7	1834
2070.13	1815
2070.56	1866
2070.99	1809
2071.42	1802
2071.85	1820
2072.28	1913
2072.71	1879
2073.15	1806
2073.58	1813
2074.01	1818
2074.44	1873
2074.87	1910
2075.3	1959
2075.73	1938
2076.16	1863
2076.59	1893
2077.02	1873
2077.46	1878
2077.89	1884
2078.32	1904
2078.75	1890
2079.18	1892
2079.61	1860
2080.04	1937
2080.48	1953
2080.91	1956
2081.34	1936
2081.77	1840
2082.2	1801
2082.64	1862
2083.07	1845
2083.5	1882
2083.93	1954
2084.36	1972
2084.79	1921
2085.23	1799
2085.66	1854
2086.09	1801
2086.52	1797
2086.96	1838
2087.39	1851
2087.82	1850
2088.25	1840
2088.69	1781
2089.12	1760
2089.55	1767
2089.98	1775
2090.42	1741
2090.85	1804
2091.28	1797
2091.71	1807
2092.15	1796
2092.58	1794
2093.01	1826
2093.45	1914
2093.88	1823
2094.31	1781
2094.74	1818
2095.18	1840
2095.61	1888
2096.04	1785
2096.48	1796
2096.91	1922
2097.34	1935
2097.78	1883
2098.21	1865
2098.64	1896
2099.08	1876
2099.51	1965
2099.94	2062
2100.38	2010
2100.81	1963
2101.25	1919
2101.68	1992
2102.11	2083
2102.55	2085
2102.98	1963
2103.42	1829
2103.85	1834
