"SPEC#: 1, SIZE: 18429, TIME: 0.000000"	
1999.7	261
2000.13	276
2000.55	282
2000.97	250
2001.4	251
2001.82	246
2002.24	209
2002.67	206
2003.09	255
2003.51	257
2003.94	233
2004.36	220
2004.78	209
2005.21	211
2005.63	207
2006.05	205
2006.48	221
2006.9	237
2007.33	241
2007.75	248
2008.17	257
2008.6	241
2009.02	239
2009.45	236
2009.87	270
2010.3	295
2010.72	271
2011.14	274
2011.57	234
2011.99	242
2012.42	248
2012.84	248
2013.27	245
2013.69	227
2014.12	206
2014.54	187
2014.96	217
2015.39	240
2015.81	233
2016.24	225
2016.66	211
2017.09	190
2017.51	199
2017.94	198
2018.36	194
2018.79	214
2019.21	205
2019.64	209
2020.06	221
2020.49	267
2020.92	275
2021.34	240
2021.77	217
2022.19	241
2022.62	241
2023.04	230
2023.47	231
2023.89	232
2024.32	242
2024.75	242
2025.17	213
2025.6	215
2026.02	236
2026.45	216
2026.88	214
2027.3	224
2027.73	215
2028.15	225
2028.58	213
2029.01	190
2029.43	214
2029.86	206
2030.28	207
2030.71	201
2031.14	215
2031.56	240
2031.99	253
2032.42	236
2032.84	229
2033.27	233
2033.7	221
2034.12	198
2034.55	220
2034.98	258
2035.4	266
2035.83	239
2036.26	246
2036.69	235
2037.11	216
2037.54	222
2037.97	240
2038.39	271
2038.82	258
2039.25	237
2039.68	221
2040.1	219
2040.53	178
2040.96	193
2041.39	222
2041.81	229
2042.24	226
2042.67	264
2043.1	260
2043.52	272
2043.95	256
2044.38	270
2044.81	271
2045.23	249
2045.66	246
2046.09	243
2046.52	246
2046.95	239
2047.38	257
2047.8	267
2048.23	242
2048.66	237
2049.09	234
2049.52	238
2049.94	212
2050.37	216
2050.8	231
2051.23	260
2051.66	274
2052.09	252
2052.52	212
2052.94	219
2053.37	236
2053.8	247
2054.23	231
2054.66	229
2055.09	284
2055.52	278
2055.95	261
2056.38	238
2056.81	282
2057.23	334
2057.66	333
2058.09	326
2058.52	274
2058.95	280
2059.38	315
2059.81	300
2060.24	266
2060.67	290
2061.1	288
2061.53	247
2061.96	217
2062.39	238
2062.82	251
2063.25	252
2063.68	234
2064.11	233
2064.54	246
2064.97	251
2065.4	250
2065.83	231
2066.26	207
2066.69	218
2067.12	223
2067.55	228
2067.98	256
2068.41	272
2068.84	288
2069.27	303
2069.7	297
2070.13	286
2070.56	278
2070.99	282
2071.42	307
2071.85	327
2072.28	332
2072.71	317
2073.15	313
2073.58	273
2074.01	317
2074.44	298
2074.87	255
2075.3	259
2075.73	275
2076.16	245
2076.59	240
2077.02	260
2077.46	242
2077.89	249
2078.32	271
2078.75	280
2079.18	288
2079.61	271
2080.04	257
2080.48	208
2080.91	220
2081.34	272
2081.77	265
2082.2	264
2082.64	281
2083.07	274
2083.5	271
2083.93	226
2084.36	211
2084.79	212
2085.23	253
2085.66	284
2086.09	243
2086.52	233
2086.96	239
2087.39	257
2087.82	267
2088.25	277
2088.69	265
2089.12	301
2089.55	411
2089.98	452
2090.42	444
2090.85	492
2091.28	448
2091.71	426
2092.15	365
2092.58	354
2093.01	327
2093.45	283
2093.88	292
2094.31	250
2094.74	194
2095.18	216
2095.61	235
2096.04	237
2096.48	246
2096.91	241
2097.34	212
2097.78	232
2098.21	243
2098.64	235
2099.08	239
2099.51	278
2099.94	261
2100.38	248
2100.81	243
2101.25	253
2101.68	233
2102.11	225
2102.55	227
2102.98	263
2103.42	304
2103.85	355
2104.28	411
2104.72	437
2105.15	396
2105.59	362
2106.02	340
2106.45	273
2106.89	270
2107.32	270
2107.76	267
2108.19	272
2108.63	258
2109.06	283
2109.5	292
2109.93	307
2110.36	315
2110.8	279
2111.23	273
2111.67	257
2112.1	252
2112.54	254
2112.97	243
2113.41	246
2113.84	254
2114.28	263
2114.71	255
2115.15	239
2115.58	218
2116.02	245
2116.46	282
2116.89	299
2117.33	284
2117.76	248
2118.2	242
2118.63	216
2119.07	202
2119.5	214
2119.94	216
2120.38	258
2120.81	241
2121.25	213
2121.68	224
2122.12	247
2122.55	254
2122.99	239
2123.43	265
2123.86	295
2124.3	274
2124.73	238
2125.17	274
2125.61	276
2126.04	258
2126.48	236
2126.92	207
2127.35	226
2127.79	235
2128.23	242
2128.66	286
2129.1	295
2129.54	305
2129.97	324
2130.41	292
2130.85	323
2131.28	320
2131.72	324
2132.16	319
2132.59	295
2133.03	273
2133.47	273
2133.9	242
2134.34	234
2134.78	247
2135.22	272
2135.65	320
2136.09	325
2136.53	319
2136.97	290
2137.4	222
2137.84	197
2138.28	208
2138.72	247
2139.15	257
2139.59	239
2140.03	219
2140.47	195
2140.9	219
2141.34	252
2141.78	265
2142.22	258
2142.66	234
2143.09	254
2143.53	251
2143.97	238
2144.41	215
2144.85	189
2145.29	207
2145.72	228
2146.16	248
2146.6	248
2147.04	268
2147.48	226
2147.92	225
2148.36	244
2148.79	280
2149.23	257
2149.67	232
2150.11	288
2150.55	276
2150.99	248
2151.43	251
2151.87	259
2152.3	241
2152.74	223
2153.18	226
2153.62	232
2154.06	233
2154.5	235
2154.94	231
2155.38	254
2155.82	234
2156.26	227
2156.7	222
2157.14	205
2157.58	221
2158.02	239
2158.46	215
2158.89	217
2159.33	238
2159.77	232
2160.21	217
2160.65	201
2161.09	203
2161.53	221
2161.97	227
2162.41	195
2162.85	206
2163.29	221
2163.73	284
2164.17	293
2164.61	284
2165.06	267
2165.5	244
2165.94	246
2166.38	227
2166.82	211
2167.26	226
2167.7	219
2168.14	222
2168.58	196
2169.02	217
2169.46	240
2169.9	254
2170.34	237
2170.78	205
2171.22	240
2171.67	245
2172.11	265
2172.55	307
2172.99	284
2173.43	255
2173.87	242
2174.31	240
2174.75	228
2175.19	245
2175.64	241
2176.08	240
2176.52	221
2176.96	208
2177.4	241
