"SPEC#: 1, SIZE: 18429, TIME: 0.000000"	
1999.7	521
2000.13	505
2000.55	515
2000.97	531
2001.4	509
2001.82	538
2002.24	530
2002.67	486
2003.09	468
2003.51	486
2003.94	453
2004.36	470
2004.78	445
2005.21	438
2005.63	437
2006.05	442
2006.48	448
2006.9	442
2007.33	417
2007.75	392
2008.17	411
2008.6	466
2009.02	447
2009.45	438
2009.87	396
2010.3	416
2010.72	428
2011.14	443
2011.57	468
2011.99	488
2012.42	490
2012.84	460
2013.27	476
2013.69	447
2014.12	410
2014.54	403
2014.96	439
2015.39	430
2015.81	419
2016.24	390
2016.66	390
2017.09	425
2017.51	451
2017.94	447
2018.36	461
2018.79	419
2019.21	411
2019.64	468
2020.06	460
2020.49	451
2020.92	432
2021.34	485
2021.77	554
2022.19	517
2022.62	524
2023.04	523
2023.47	499
2023.89	488
2024.32	460
2024.75	455
2025.17	445
2025.6	423
2026.02	417
2026.45	389
2026.88	418
2027.3	446
2027.73	448
2028.15	443
2028.58	419
2029.01	413
2029.43	436
2029.86	455
2030.28	412
2030.71	386
2031.14	378
2031.56	421
2031.99	429
2032.42	396
2032.84	403
2033.27	380
2033.7	401
2034.12	418
2034.55	421
2034.98	458
2035.4	477
2035.83	501
2036.26	478
2036.69	465
2037.11	479
2037.54	507
2037.97	487
2038.39	489
2038.82	455
2039.25	447
2039.68	442
2040.1	434
2040.53	448
2040.96	475
2041.39	492
2041.81	484
2042.24	502
2042.67	506
2043.1	506
2043.52	468
2043.95	469
2044.38	499
2044.81	518
2045.23	476
2045.66	475
2046.09	522
2046.52	518
2046.95	517
2047.38	498
2047.8	462
2048.23	419
2048.66	456
2049.09	469
2049.52	420
2049.94	440
2050.37	431
2050.8	453
2051.23	460
2051.66	452
2052.09	442
2052.52	434
2052.94	470
2053.37	520
2053.8	475
2054.23	456
2054.66	472
2055.09	476
2055.52	469
2055.95	493
2056.38	511
2056.81	534
2057.23	577
2057.66	661
2058.09	686
2058.52	622
2058.95	631
2059.38	569
