"SPEC#: 1, SIZE: 18429, TIME: 0.000000"	
1999.7	646
2000.13	637
2000.55	657
2000.97	671
2001.4	684
2001.82	681
2002.24	672
2002.67	656
2003.09	654
2003.51	650
2003.94	625
2004.36	642
2004.78	631
2005.21	586
2005.63	589
2006.05	613
2006.48	628
2006.9	648
2007.33	610
2007.75	586
2008.17	616
2008.6	608
2009.02	592
2009.45	568
2009.87	595
2010.3	605
2010.72	641
2011.14	641
2011.57	601
2011.99	591
2012.42	595
2012.84	604
2013.27	587
2013.69	572
2014.12	611
2014.54	617
2014.96	624
2015.39	610
2015.81	655
2016.24	653
2016.66	645
2017.09	586
2017.51	552
2017.94	584
2018.36	580
2018.79	555
2019.21	547
2019.64	602
2020.06	562
2020.49	575
2020.92	642
2021.34	607
2021.77	629
2022.19	670
2022.62	647
2023.04	633
2023.47	614
2023.89	566
2024.32	561
2024.75	568
2025.17	585
2025.6	633
2026.02	643
2026.45	605
2026.88	595
2027.3	630
2027.73	642
2028.15	646
2028.58	621
2029.01	629
2029.43	612
2029.86	658
2030.28	619
2030.71	595
2031.14	587
2031.56	632
2031.99	613
2032.42	609
2032.84	606
2033.27	644
2033.7	652
2034.12	642
2034.55	649
2034.98	580
2035.4	605
2035.83	611
2036.26	642
2036.69	659
2037.11	636
2037.54	623
2037.97	619
2038.39	617
2038.82	603
2039.25	600
2039.68	607
2040.1	625
2040.53	640
2040.96	647
2041.39	673
2041.81	662
2042.24	614
2042.67	617
2043.1	618
2043.52	615
2043.95	702
2044.38	714
2044.81	664
2045.23	651
2045.66	661
2046.09	680
2046.52	639
2046.95	620
2047.38	605
2047.8	584
2048.23	617
2048.66	689
2049.09	659
2049.52	611
2049.94	554
2050.37	543
2050.8	589
2051.23	607
2051.66	623
2052.09	622
2052.52	581
2052.94	578
2053.37	587
2053.8	598
2054.23	641
2054.66	685
2055.09	706
2055.52	669
2055.95	689
2056.38	678
2056.81	699
2057.23	721
2057.66	726
2058.09	733
2058.52	727
2058.95	664
2059.38	651
2059.81	669
2060.24	685
2060.67	713
2061.1	705
2061.53	691
2061.96	699
2062.39	694
2062.82	641
2063.25	626
2063.68	634
2064.11	646
2064.54	680
2064.97	677
2065.4	646
2065.83	707
2066.26	668
2066.69	669
2067.12	717
2067.55	781
2067.98	796
2068.41	757
2068.84	739
2069.27	758
2069.7	784
2070.13	792
2070.56	769
2070.99	756
2071.42	713
2071.85	715
2072.28	695
2072.71	724
2073.15	779
2073.58	826
2074.01	889
2074.44	915
2074.87	863
2075.3	847
2075.73	860
2076.16	824
2076.59	822
2077.02	788
2077.46	727
2077.89	667
2078.32	709
2078.75	728
2079.18	648
2079.61	621
2080.04	676
2080.48	698
2080.91	720
2081.34	705
2081.77	724
2082.2	732
2082.64	682
2083.07	645
2083.5	636
2083.93	634
2084.36	685
2084.79	668
2085.23	677
2085.66	734
2086.09	707
2086.52	694
2086.96	703
2087.39	725
2087.82	716
2088.25	703
2088.69	709
2089.12	791
2089.55	896
2089.98	937
2090.42	960
2090.85	905
2091.28	862
2091.71	795
2092.15	782
2092.58	722
2093.01	673
2093.45	713
2093.88	701
2094.31	698
2094.74	670
2095.18	636
2095.61	650
2096.04	677
2096.48	662
2096.91	637
2097.34	634
2097.78	612
2098.21	603
2098.64	648
2099.08	705
2099.51	679
2099.94	645
2100.38	639
2100.81	663
2101.25	701
2101.68	682
2102.11	635
2102.55	674
2102.98	666
2103.42	693
2103.85	728
2104.28	762
2104.72	805
2105.15	802
2105.59	747
2106.02	706
2106.45	735
2106.89	684
2107.32	650
2107.76	655
2108.19	640
2108.63	656
2109.06	616
2109.5	639
2109.93	632
2110.36	692
2110.8	722
2111.23	684
2111.67	651
2112.1	634
2112.54	645
2112.97	704
2113.41	665
2113.84	661
2114.28	765
2114.71	755
2115.15	721
2115.58	718
2116.02	701
2116.46	726
2116.89	723
2117.33	712
2117.76	658
2118.2	679
2118.63	673
2119.07	635
2119.5	641
2119.94	625
2120.38	605
2120.81	621
2121.25	648
2121.68	657
2122.12	621
2122.55	602
2122.99	626
2123.43	606
2123.86	582
2124.3	610
2124.73	652
2125.17	672
2125.61	717
2126.04	679
2126.48	605
2126.92	627
2127.35	661
2127.79	643
2128.23	653
2128.66	725
2129.1	726
2129.54	757
2129.97	737
2130.41	652
2130.85	665
2131.28	648
2131.72	618
2132.16	664
2132.59	668
2133.03	633
2133.47	677
2133.9	754
2134.34	667
2134.78	669
2135.22	677
2135.65	714
2136.09	708
2136.53	714
2136.97	689
2137.4	687
2137.84	724
2138.28	775
2138.72	702
2139.15	601
2139.59	641
2140.03	675
2140.47	632
2140.9	647
2141.34	658
2141.78	665
2142.22	682
2142.66	699
2143.09	695
2143.53	686
2143.97	700
2144.41	717
2144.85	724
2145.29	728
2145.72	721
2146.16	733
2146.6	698
2147.04	756
2147.48	873
2147.92	1064
2148.36	1292
2148.79	1335
2149.23	1333
2149.67	1399
2150.11	1331
2150.55	1185
2150.99	1069
2151.43	921
2151.87	840
2152.3	794
2152.74	758
2153.18	761
2153.62	726
2154.06	702
2154.5	748
2154.94	747
2155.38	725
2155.82	725
2156.26	731
2156.7	751
2157.14	704
2157.58	675
2158.02	654
2158.46	649
2158.89	620
2159.33	705
2159.77	817
2160.21	811
2160.65	785
2161.09	815
2161.53	779
2161.97	727
2162.41	716
2162.85	730
2163.29	714
2163.73	685
2164.17	667
2164.61	682
2165.06	687
2165.5	677
2165.94	661
2166.38	620
2166.82	674
2167.26	747
2167.7	734
2168.14	779
2168.58	815
2169.02	803
2169.46	786
2169.9	724
2170.34	735
2170.78	781
2171.22	757
2171.67	747
2172.11	723
2172.55	677
2172.99	635
2173.43	608
2173.87	627
2174.31	642
2174.75	649
2175.19	640
2175.64	626
2176.08	658
2176.52	701
2176.96	713
2177.4	695
2177.84	700
2178.29	709
2178.73	705
2179.17	662
2179.61	664
2180.05	646
2180.49	643
2180.94	651
2181.38	701
2181.82	723
2182.26	672
2182.7	682
2183.15	668
2183.59	699
2184.03	710
2184.47	708
2184.92	695
2185.36	719
2185.8	773
2186.24	747
2186.69	726
2187.13	674
2187.57	707
2188.01	701
2188.46	702
2188.9	671
2189.34	674
2189.78	667
2190.23	682
2190.67	704
2191.11	689
2191.56	654
2192	631
2192.44	625
2192.89	661
2193.33	688
2193.77	674
2194.21	685
2194.66	707
2195.1	705
2195.54	675
2195.99	665
2196.43	664
2196.88	683
2197.32	662
2197.76	668
2198.21	663
2198.65	696
2199.09	710
2199.54	734
2199.98	724
2200.43	702
2200.87	689
2201.31	693
2201.76	710
2202.2	663
2202.65	659
2203.09	681
2203.53	721
2203.98	764
2204.42	735
2204.87	747
2205.31	785
2205.76	801
2206.2	777
2206.64	737
2207.09	702
2207.53	744
2207.98	773
2208.42	766
2208.87	706
2209.31	682
2209.76	689
2210.2	684
2210.65	746
2211.09	686
2211.54	627
2211.98	617
2212.43	648
2212.87	660
2213.32	728
2213.76	684
2214.21	686
2214.65	709
2215.1	749
2215.54	719
2215.99	702
2216.44	719
2216.88	727
2217.33	692
2217.77	675
2218.22	716
2218.66	731
2219.11	755
2219.56	716
2220	683
2220.45	647
2220.89	632
2221.34	631
2221.79	612
2222.23	649
2222.68	665
2223.12	645
2223.57	681
2224.02	743
2224.46	749
2224.91	791
2225.36	793
2225.8	806
2226.25	792
2226.69	785
2227.14	813
2227.59	781
2228.03	759
2228.48	697
2228.93	721
2229.38	759
2229.82	712
2230.27	678
2230.72	674
2231.16	685
2231.61	686
2232.06	684
2232.5	633
2232.95	632
2233.4	625
2233.85	631
2234.29	620
2234.74	578
2235.19	605
2235.64	645
2236.08	705
2236.53	716
2236.98	730
2237.43	655
2237.87	582
2238.32	625
2238.77	690
2239.22	724
2239.66	687
2240.11	683
2240.56	712
2241.01	701
2241.46	697
2241.9	652
2242.35	631
2242.8	613
2243.25	668
2243.7	704
2244.15	713
2244.59	707
2245.04	686
2245.49	650
2245.94	681
2246.39	713
2246.84	708
2247.28	711
2247.73	727
2248.18	761
2248.63	730
2249.08	745
2249.53	733
2249.98	711
2250.43	735
2250.88	698
2251.32	663
2251.77	668
2252.22	705
2252.67	728
2253.12	713
2253.57	745
2254.02	739
2254.47	712
2254.92	703
2255.37	748
2255.82	817
2256.27	943
2256.72	1020
2257.17	1030
2257.62	1058
2258.06	1085
2258.51	1080
2258.96	977
2259.41	854
2259.86	859
2260.31	925
2260.76	907
2261.21	822
2261.66	768
2262.11	741
2262.56	768
2263.01	787
2263.46	733
2263.92	731
2264.37	709
2264.82	704
2265.27	679
2265.72	738
2266.17	798
2266.62	761
2267.07	739
2267.52	739
2267.97	745
2268.42	753
2268.87	719
2269.32	770
2269.77	818
2270.22	798
2270.67	835
2271.13	863
2271.58	900
2272.03	923
2272.48	954
2272.93	956
2273.38	945
2273.83	957
2274.28	942
2274.74	850
2275.19	803
2275.64	797
2276.09	755
2276.54	750
2276.99	721
2277.44	741
2277.9	771
2278.35	738
2278.8	731
2279.25	718
2279.7	716
2280.16	714
2280.61	680
2281.06	697
2281.51	710
2281.96	706
2282.42	740
2282.87	737
2283.32	762
2283.77	743
2284.22	750
2284.68	757
2285.13	755
2285.58	777
2286.03	824
2286.49	833
2286.94	804
2287.39	751
2287.84	750
2288.3	749
2288.75	729
2289.2	763
2289.66	817
2290.11	844
2290.56	792
2291.01	742
2291.47	688
2291.92	700
2292.37	756
2292.83	847
2293.28	871
2293.73	833
2294.19	791
2294.64	815
2295.09	858
2295.55	819
2296	777
2296.45	779
2296.91	825
2297.36	834
2297.81	856
2298.27	824
2298.72	840
2299.18	874
2299.63	842
2300.08	841
2300.54	884
2300.99	877
2301.44	813
2301.9	792
2302.35	811
2302.81	813
2303.26	818
2303.72	825
2304.17	840
2304.62	859
2305.08	837
2305.53	837
2305.99	755
2306.44	707
2306.9	759
2307.35	822
2307.81	800
2308.26	793
2308.72	799
2309.17	810
2309.62	776
2310.08	795
2310.53	849
2310.99	813
2311.44	820
2311.9	827
2312.35	791
2312.81	802
2313.26	827
2313.72	872
2314.18	917
2314.63	1016
2315.09	1166
2315.54	1280
2316	1333
2316.45	1297
2316.91	1229
2317.36	1210
2317.82	1149
2318.27	1054
2318.73	980
2319.19	949
2319.64	940
2320.1	851
2320.55	834
2321.01	851
2321.47	894
2321.92	858
2322.38	859
2322.83	879
2323.29	850
2323.75	834
2324.2	775
2324.66	757
2325.12	750
2325.57	733
2326.03	758
2326.48	880
2326.94	884
2327.4	847
2327.85	816
2328.31	790
2328.77	841
2329.22	869
2329.68	882
2330.14	864
2330.59	841
2331.05	840
2331.51	889
2331.97	917
2332.42	906
2332.88	899
2333.34	918
2333.79	990
2334.25	942
2334.71	863
2335.17	863
2335.62	879
2336.08	848
2336.54	843
2337	760
2337.45	723
2337.91	722
2338.37	704
2338.83	715
2339.28	670
2339.74	634
2340.2	642
2340.66	656
2341.12	658
2341.57	682
2342.03	650
2342.49	641
2342.95	714
2343.41	739
2343.86	781
2344.32	813
2344.78	794
2345.24	807
2345.7	768
2346.16	753
2346.61	730
2347.07	700
2347.53	693
2347.99	796
2348.45	755
2348.91	710
2349.37	707
2349.82	701
2350.28	658
2350.74	656
2351.2	699
2351.66	772
2352.12	777
2352.58	781
2353.04	748
2353.5	695
2353.96	696
2354.41	694
2354.87	710
2355.33	746
2355.79	728
2356.25	732
2356.71	706
2357.17	733
2357.63	741
2358.09	685
2358.55	690
2359.01	689
