node;isolate_number;strain;reference;node_color;OIU;OIU_color;OIU_node_line_color;node_line_color;node_line_width;node_size
S0743_I7_LINEAR_1;;LMG 11434;Yes;#00ff00;24;#a9079b;#e21111;#e21111;3;15
S0742_H10_LINEAR_1;;LMG 11437;Yes; #ff00ff;27;#11b415;#e21111;#e21111;3;15
S0743_E1_LINEAR_1;;LMG 11438;Yes; #0080ff;11;#86cf01;#e21111;#e21111;3;15
S0742_N2_LINEAR_1;;LMG 11438;Yes; #0080ff;31;#ff56fc;#e21111;#e21111;3;15
S0743_P9_LINEAR_1;;LMG 11495;Yes; #ff8000;9;#ffff00;#e21111;#e21111;3;15
S0743_F4_LINEAR_1;;LMG 11495;Yes; #ff8000;19;#096887;#e21111;#e21111;3;15
S0742_D2_LINEAR_1;;LMG 11969;Yes; #80bf80;4;#390ca8;#e21111;#e21111;3;15
S0742_M6_LINEAR_1;;LMG 11969;Yes; #80bf80;33;#8e4d0e;#e21111;#e21111;3;15
S0743_O13_LINEAR_1;;LMG 11969;Yes; #80bf80;10;#00ffff;#e21111;#e21111;3;15
S0742_D3_LINEAR_1;;LMG 11988;Yes; #4501bc;16;#905484;#e21111;#e21111;3;15
S0743_I22_LINEAR_1;;LMG 11988;Yes; #4501bc;7;#b481e9;#e21111;#e21111;3;15
S0743_E10_LINEAR_1;;LMG 11993;Yes; #d80129;8;#a60a28;#e21111;#e21111;3;15
S0742_N11_LINEAR_1;;LMG 11998;Yes; #fc82c8;14;#14cd6a;#e21111;#e21111;3;15
S0743_K9_LINEAR_1;;LMG 12023;Yes; #e3ff05;21;#0000ff;#e21111;#e21111;3;15
S0743_O21_LINEAR_1;;LMG 12023;Yes; #e3ff05;26;#bbcfcb;#e21111;#e21111;3;15
S0743_A3_LINEAR_1;;LMG 16322;Yes; #0d7a2f;18;#5455f8;#e21111;#e21111;3;15
S0742_J3_LINEAR_1;;LMG 18022;Yes; #00ffff;17;#8000ff;#e21111;#e21111;3;15
S0743_E18_LINEAR_1;;LMG 18022;Yes; #00ffff;23;#ad8e35;#e21111;#e21111;3;15
S0743_M18_LINEAR_1;;LMG 6906T;Yes; #00ff80;12;#fe4a81;#e21111;#e21111;3;15
S0743_I3_LINEAR_1;;LMG 7761;Yes; #8955f3;15;#80ffff;#e21111;#e21111;3;15
S0742_J5_LINEAR_1;;R-33878;Yes; #88486d;13;#eebc7c;#e21111;#e21111;3;15
S0742_D22_LINEAR_1;;R-34116;Yes; #80ddfb;32;#fea7dc;#e21111;#e21111;3;15
S0742_M23_LINEAR_1;;R-42469;Yes; #77c506;2;#0191e9;#e21111;#e21111;3;15
S0743_N1_LINEAR_1;;R-42874;Yes; #fae380;0;#f000ee;#e21111;#e21111;3;15
S0742_O3_LINEAR_1;;R-42874;Yes; #fae380;3;#ff8000;#e21111;#e21111;3;15
S0742_P3_LINEAR_1;;R-42874;Yes; #fae380;1;#00ff00;#e21111;#e21111;3;15
S0742_O5_LINEAR_1;;R-46486;Yes; #16569b;34;#0640ce;#e21111;#e21111;3;15
S0742_P7_LINEAR_1;;R-47272;Yes; #6b151f;25;#502543;#e21111;#e21111;3;15
S0742_I21_LINEAR_1;;R-47313;Yes; #f64572;30;#35e9b6;#e21111;#e21111;3;15
S0742_L2_LINEAR_1;;R-47325;Yes; #916e0a;5;#4c7c38;#e21111;#e21111;3;15
S0743_M10_LINEAR_1;;R-47325;Yes; #916e0a;6;#80ff80;#e21111;#e21111;3;15
S0742_P18_LINEAR_1;;R-47349;Yes; #0e025e;28;#ff0080;#e21111;#e21111;3;15
S0743_N14_LINEAR_1;;R-49154;Yes; #15ae8c;20;#6dada4;#e21111;#e21111;3;15
S0742_L10_LINEAR_1;;R-49154;Yes; #15ae8c;22;#ff0000;#e21111;#e21111;3;15
S0742_P22_LINEAR_1;;R-53271;Yes; #b701a5;29;#024d1e;#e21111;#e21111;3;15
S0742_N23_LINEAR_1;;R-42469;No; #77c506;2;#0191e9;#000000;#000000;1;10
